"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Heat Reciter Follow-Up","Heat Reciter","PHY","Single enemy","Physical","1.92","Fire, NE","0.01","Six single ranged attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547031"
"Heaven and Earth Follow-Up","Heaven and Earth","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10% (15s)], grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Ninja","30549320"
"Assassin's Blade Mode","Pyre Flame","PHY","Single enemy","Physical","4.50","Fire, NE","0.01","One single attack (4.50) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549216"
"Swirling Storm Follow-Up","Swirling Storm","PHY","Single enemy","Physical","1.92","Wind, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Celerity","30546113"
"Awoken Fortune-Teller","Lucky Moogle Dance","NAT","All allies","","","","0.01","Randomly grants [HP Stock (1500)] (50%) or [HP Stock (3000)] and smart ether 1 (50%)","N","All allies","0","Dancer","30549143"
"Flight of Intrigue Mode","Rocket Dive","PHY","Single enemy","Physical","6.00","Wind, Fire, NE","0.01","One single ranged attack (6.00) capped at 99999, 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548318"
"Hell Aero Follow-Up","Hell Aero","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)], causes [Imperil Dark 10% (15s)] if Sephiroth is alive","Y","Lowest HP% enemy","0","Celerity","30546029"
"Deeds Not Words Mode","Let's Get to Work (Earth)","NAT","Self","","","","0.01","Grants [Attach Earth], grants [BLK +30% Boost 1]/[BLK +50% Boost 1] if MAG > ATK, otherwise grants [PHY +30% Boost 1]/[PHY +50% Boost 1] if Reno, Elena or Tifa are not alive/alive","Y","Lowest HP% enemy","0","Special","31540178"
"Deeds Not Words Mode","Let's Get to Work (Lightning)","NAT","Self","","","","0.01","Grants [Attach Lightning], grants [BLK +30% Boost 1]/[BLK +50% Boost 1] if MAG > ATK, otherwise grants [PHY +30% Boost 1]/[PHY +50% Boost 1] if Reno, Elena or Tifa are not alive/alive","Y","Lowest HP% enemy","0","Special","31540273"
"Rookie Mode","Turks Flurry","PHY","Single enemy","Physical","2.19","Fire, Lightning, NE","0.01","Three single ranged attacks (0.73 each), causes [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)], 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31540180"
"Lightning Crash Follow-Up","Lightning Crash","PHY","Single enemy","Physical","3.04","Lightning, NE","0.01","Four single attacks (0.76 each), 100% hit rate, causes [Imperil Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Celerity","31540380"
"Boundless Dreams Follow-Up","Boundless Dreams","PHY","Single enemy","Physical","2.00","Wind, Holy, NE","0.01","Four single attacks (0.50), 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540494"
"Inner Exaltation Follow-Up","Inner Exaltation","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10% (15s)], grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Ninja","31540707"
"Awoken Chosen One","Mesocyclone","PHY","Single enemy","Physical","4.26","Dark, Fire, NE","0.01","Six single attacks (0.71 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541157"
"Awoken Ex-SOLDIER","Spin Drive (VII)","PHY","Single enemy","Physical","4.26","Wind, Dark, NE","0.01","Six single attacks (0.71 each), 100% hit rate, grants [Damage Cap +10000 1] to the user every second cast","Y","Lowest HP% enemy","0","Combat","31541174"
"Awoken Tsviets","Stormlance Thrust","PHY","Single enemy","Physical","4.32","Lightning, NE","0.01","One single attack (1.32/2.08/2.80/3.56/4.32) capped at 99999, 100% hit rate, causes [Imperil Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Celerity","31541287"
"Dual Awoken Ninja Mode II (Yuffie - Water)","Dual Freewheeling Eddy","PHY","Single enemy","Physical","4.45","Water, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31541355"
"Dual SOLDIER Mode","Dual Slash Impact","PHY","Single enemy","Physical","4.45","Wind, NE","0.01","One single attack (4.45) capped at 49999/69999/89999 after 1/2/3 uses, ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541592"
"Dual Awoken Wind Mode II (Zack)","Dual Tornado Descent","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (5s)], grants [Critical Damage +50% 1] to all allies","N","Lowest HP% enemy","0","Special","31541594"
"Awoken Cetra Strength","Prayer to Gaia","WHT","All allies","","","","0.01","Restores HP (25), smart ether 1 every third cast","N","All allies","0","White Magic","31541549"
"Dual Awoken Fire Mode II (Barret)","Dual Shattering Cannon","PHY","Single enemy","Physical","1.80","Fire, NE","0.01","Two single ranged attacks (0.90 each), causes [ATK, DEF, MAG, RES and MND -50% (8s)], grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Machinist","31541544"
"Awoken Platinum Crusher","Rock Drive","PHY","Single enemy","Physical","4.32","Earth, NE","0.01","Six single attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541547"
"Dual Awoken Wind Mode II (Cid (VII))","Dual Wind Jump","PHY","Single enemy","Physical","2.64","Wind, NE","0.01","One single ranged jump attack (2.64) capped at 99999, grants [Buff Wind 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Dragoon","31541697"
"Steadfast Pilot Mode","Aero Descent","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)], grants [Buff Wind 10% (15s)] to all allies","N","Lowest HP% enemy","0","Dragoon","31541706"
"Dynamite Duo Mode","Charged Bolt","NAT","Single enemy","Hybrid","-","Earth, Lightning, NE","0.01","One single ranged hybrid attack (0.50 or 2.42), grants Pro Mentality +1 (max 10) to the user","Y","Lowest HP% enemy","0","Monk","31541809"
"Awoken Eager Elite Mode","Sparking Shot","PHY","Single enemy","Physical","4.26","Fire, Lightning, NE","0.01","Six single ranged attacks (0.71 each), grants [Buff Fire 10% (15s)] and [Buff Lightning 10% (15s)] to the user every second cast","Y","Lowest HP% enemy","0","Sharpshooter","31541816"
"Awoken Scarlet Specialist Mode","EM Shot","NAT","Single enemy","Hybrid","-","Lightning, NE","0.01","Six single ranged hybrid attacks (0.72 or 2.44 each), 100% hit rate, grants [Lightning Ability +30% Boost 1] to the user every second cast","Y","Lowest HP% enemy","0","Machinist","31541814"
"Dual Awoken Ex-SOLDIER Mode I (Cloud)","Dual Darkness Rush","PHY","Single enemy","Physical","2.01","Dark, NE","0.01","Three single attacks (0.67 each), 100% hit rate, grants [Heavy Charge +2] to the user","Y","Lowest HP% enemy","0","Heavy","31541993"
"Chain Force Mode (Cloud)","Kindred Guidance: Cloud","PHY","Single enemy","Physical","2.05","Wind, Dark, NE","0.01","One single attack (1.95/2.05) capped at 99999, 100% hit rate, grants [(Wind/Dark) Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Combat","31542004"
"Dual Awoken Dark Mode I (Rufus)","Dual Dark Shot","PHY","Single enemy","Physical","2.04","Dark, NE","0.01","Two single ranged attacks (1.02 each), 100% hit rate, causes [Imperil Dark 10% (15s)] every second activation, grants [Quick Cast 1] to the user every second activation","Y","Lowest HP% enemy","0","Sharpshooter","31541997"
"Awoken Charismatic Ambition","Critical Ray","PHY","Single enemy","Physical","4.24","Dark, NE","0.01","Eight single ranged attacks (0.53 each), 100% hit rate, 100% additional critical chance","Y","Lowest HP% enemy","0","Sharpshooter","31542000"
"Chain Force Mode (Rufus)","Kindred Guidance: Rufus","PHY","Single enemy","Physical","1.28","Dark, NE","0.01","Four single ranged attacks (0.32 each)","Y","Lowest HP% enemy","0","Sharpshooter","31542005"
"Mako Duet Follow-Up","Mako Duet","PHY","Single enemy","Physical","?","Dark, NE","0.01","Four single ranged attacks (? each)","Y","Lowest HP% enemy","0","Sharpshooter","31520066"
"Chain Force Mode (Vincent)","Flame Guidance: Vincent","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","One single ranged hybrid attack (1.95/2.05 or 3.80/4.20) capped at 99999 scaling with uses, 100% hit rate, grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Machinist","31542018"
"Dual Awoken Earth Mode I (Red XIII)","Dual Earth Lower","BLK","Single enemy","Magical","16.56","Earth, NE","0.01","Six single attacks (2.76 each), grants [Instant Cast 3] to the user","Y","Lowest HP% enemy","0","Black Magic","31542154"
"Light of Creation Follow-Up","Light of Creation","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate, grants [Spellblade +30% Boost 1] to the ally who triggered Light of Creation","Y","Lowest HP% enemy","0","Spellblade","31542390"
"Flames of Doom Follow-Up","Flames of Doom","PHY","Single enemy","Physical","1.92","Fire, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31542393"
"Chain Force Mode (Genesis)","Fire Guidance: Genesis","PHY","Single enemy","Physical","2.05","Fire, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with uses, grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Spellblade","31542388"
"Zenith Mode: Tifa (Earth)","Spirit Attack: Tifa (Earth)","PHY","Single enemy","Physical","5.34","Earth, NE","0.01","One single attack (5.34) capped at 99999, 6.00 if exploiting Earth weakness","Y","Lowest HP% enemy","0","Monk","31542447"
"Chain Force Mode (Tifa)","Earth Guidance: Tifa","PHY","Single enemy","Physical","2.05","Earth, NE","0.01","One single attack (1.95/2.05) capped at 99999, grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Monk","31542449"
"Chocobo Love Mode","Giga Flame Follow-Up","BLK","Single enemy","Physical","20.28","Fire, NE","0.01","13 single attacks (1.56 each)","Y","Lowest HP% enemy","0","Black Magic","315424491"
"EX: SeeD","Shattering Finish","PHY","All enemies","Physical","2.60","Ice, NE","0.01","Four group attacks (0.65 each), 100% hit rate","Y","All enemies","0","Combat","30511677"
"EX: Lion","Renzokuken Ice Fang","PHY","Single enemy","Physical","1.12","Ice, NE","0.01","4/5/6/7/8 single attacks (0.28/0.30/0.32/0.34/0.36 each) scaling with uses, 20/25/30/35/40% additional critical chance","Y","Lowest HP% enemy","0","Spellblade","30547021"
"EX: Heart of the Lion","Renzokuken Fire Fang","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547112"
"EX: Chosen Sorceress","Angel Wing Ice Mist","BLK","Single enemy","Magical","8.52","Ice, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541120"
"Fiery Fist Follow-Up","Fiery Fist","PHY","Single enemy","Physical","2.08","Fire, NE","0.01","Four single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30511994"
"Clean Shot Follow-Up","Clean Shot","PHY","Single enemy","Physical","2.40","Fire, NE","0.01","One single ranged attack (2.40), causes [Crushed DEF and RES -70%] for 8 seconds","Y","Lowest HP% enemy","0","Sharpshooter","30549071"
"Slice Follow-Up","Slice","BLK","Single enemy","Magical","-","Wind, NE","0.01","Randomly deals five (40%) or ten (60%) single attacks (1.56 each)","Y","Lowest HP% enemy","0","Black Magic","30541050"
"Stubborn Blade Follow-Up","Stubborn Blade","PHY","Single enemy","Physical","3.68","Dark, Fire, NE","0.01","Eight single ranged attacks (0.46 each)","Y","Lowest HP% enemy","0","Darkness","30549669"
"Icy Apocalypse Follow-up","Icy Apocalypse","BLK","Single enemy","Magical","16.40","Ice, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541321"
"Cruel Blow Follow-up","Cruel Blow","BLK","Single enemy","Magical","16.15","Wind, Dark, NE","0.01","One single attack (16.15) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541351"
"Deblizz Shot Follow-Up","Deblizz Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10% (15s)]","Y","Lowest HP% enemy","0","Machinist","30549251"
"Thunderous Call Follow-Up","Thunderous Call","NAT","All allies","","","","0.01","Grants [Buff Lightning 10% (15s)]","N","All allies","0","Monk","30548428"
"Ice Stalker Follow-Up","Ice Stalker (Black Magic)","BLK","Single enemy","Magical","4.02","Ice, Dark, NE","0.01","Two single attacks (2.01 each), grants [Magical High Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541327"
"Ice Stalker Follow-Up","Ice Stalker (Witch)","BLK","Single enemy","Magical","4.02","Ice, Dark, NE","0.01","Two single attacks (2.01 each), grants [Buff Ice 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541328"
"Awoken Dancer","Barrier Dance","NAT","All allies","","","","0.01","Grants [10/15/20/30/40% Damage Reduction Barrier 1] at rank 1/2/3/4/5 of the triggering ability to all allies","Y","All allies","0","Dancer","30549045"
"Retsu Follow-Up","Retsu","BLK","Single enemy","Magical","16.62","Wind, NE","0.01","Six single attacks (2.77 each), grants [Buff Wind 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Black Magic","30541358"
"Angelo Shot Follow-Up","Angelo Shot","BLK","Single enemy","Magical","16.40","Earth, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541246"
"Starforge Mode","Grand Apocalypse","BLK","Single enemy","Magical","27.50","Earth, NE","0.01","Two single attacks (13.75 each) capped at 99999, removes [Starforge Mode] from the user","Y","Lowest HP% enemy","0","Black Magic","30541340"
"Chase Blade Follow-Up","Tsuigekiken Ice Rift","PHY","Single enemy","Physical","3.52","Ice, NE","0.01","One single attack (3.52) capped at 99999, grants [Spellblade High Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Spellblade","30547321"
"Chase Blade Follow-Up","Tsuigekiken Iceberg","PHY","All enemies","Physical","3.20","Ice, NE","0.01","Four group attacks (0.80 each), grants [Spellblade High Quick Cast 1] to the user","Y","All enemies","0","Spellblade","30547322"
"Ice Age Follow-Up","Ice Age","BLK","Single enemy","Magical","16.40","Ice, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541423"
"Max Pain Follow-Up","Max Pain","PHY","Single enemy","Physical","3.96","Dark, Ice, NE","0.01","Six single attacks (0.66), 100% additional critical chance if Laguna or Ward are alive","Y","Lowest HP% enemy","0","Ninja","30549321"
"Maximum Anchor Follow-Up","Maximum Anchor","PHY","Single enemy","Physical","5.12","Water, Ice, Earth, NE","0.01","One single ranged attack (5.12) capped at 99999, 50% additional critical damage if Laguna or Kiros are alive","Y","Lowest HP% enemy","0","Dragoon","30548316"
"Charismatic Snipe Follow-Up","Charismatic Snipe","PHY","Single enemy","Physical","2.56","Ice, NE","0.01","Eight single ranged attacks (0.32 each), 100% additional critical chance if Kiros or Ward are alive","Y","Lowest HP% enemy","0","Machinist","31540008"
"Tactical Shot Follow-Up","Tactical Shot","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Four single ranged attacks (0.50 each), 100% hit rate, 100% additional critical chance if Kiros or Ward are alive","Y","Lowest HP% enemy","0","Machinist","31540342"
"Heartless Sorceress Mode","Dark Manafrost","BLK","Single enemy","Magical","7.86","Ice, Dark, NE","0.01","Six single attacks (1.31 each), grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Witch","31540344"
"Glacial Curse Follow-Up","Glacial Curse","BLK","Single enemy","Magical","7.92","Ice, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Witch","31540348"
"Vivifying Step Follow-Up","Vivifying Step","NAT","All allies","","","","0.01","Restores HP (25), grants [Quick Cast 1] every second cast","Y","All allies","0","Dancer","31540347"
"Oikaze Follow-Up","Oikaze","BLK","Single enemy","Magical","6.44","Wind, NE","0.01","Randomly deals four (33%), five (34%) or six (33%) single attacks (1.61 each)","Y","Lowest HP% enemy","0","Black Magic","31540490"
"Time Compression Mode","Relentless Blades","BLK","Single enemy","Magical","16.40","Dark, NE","0.01","One single attack (16.40) capped at 99999, removes [Time Compression Mode] from the user","Y","Lowest HP% enemy","0","Black Magic","31540732"
"Unerring Pikes Follow-Up","Unerring Pikes","BLK","Single enemy","Magical","7.92","Dark, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31540737"
"Duel 4S Mode","FB Meteor Barret","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","One single attack (6.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540858"
"Duel 6S Mode","Meteor Strike Z","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate, grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Monk","31540859"
"Duel 6S Mode","FB Meteor Barret","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","One single attack (6.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540858"
"Duel 9S Mode","Mach Kick","PHY","Single enemy","Physical","3.90","Fire, NE","0.01","Ten single attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540860"
"Duel 9S Mode","FB Meteor Barret","PHY","Single enemy","Physical","6.00","Fire, NE","0.01","One single attack (6.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540858"
"Dark Ammo Shot Follow-Up","Dark Ammo Shot","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single ranged attacks (0.50 each), 100% hit rate, causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)] every 1+2n/2+2n uses","Y","Lowest HP% enemy","0","Sharpshooter","31540862"
"Awoken Lion","Draw & Stock","PHY","Single enemy","Physical","3.94","Ice, Fire, NE","0.01","One single attack (3.94) capped at 99999, 100% hit rate, grants [Buff Ice 10% (15s)] and [Buff Fire 10% (15s)] to the user","Y","Lowest HP% enemy","0","Spellblade","31540915"
"Awoken Comet","Binary Star","BLK","Single enemy","Magical","14.46","Ice, Earth, NE","0.01","Six single attacks (2.41 each)","Y","Lowest HP% enemy","0","Black Magic","31541314"
"Dual Awoken Sorceress's Knight Mode II (Seifer)","Dual Fire Cross","PHY","Single enemy","Physical","2.92","Dark, Fire, NE","0.01","Four single attacks (0.73 each), 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31541420"
"Dual Awoken Lightning Mode I (Raijin)","Dual Sparkhammer","PHY","Single enemy","Physical","2.00","Lightning, NE","0.01","Four single attack (0.50 each), 100% hit rate, causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","0","Monk","31541523"
"Awoken Frostshade Witch","Ice Binding","BLK","Single enemy","Magical","14.46","Ice, Dark, NE","0.01","Six single attacks (2.41 each)","Y","Lowest HP% enemy","0","Black Magic","31541677"
"Spiteful Sorceress Mode","Sorcerous Shelter","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1], grants [30% Buff Dark (15s)] to the user every third cast","N","All allies","0","Black Magic","31541670"
"Dual Awoken Wind Mode II (Fujin)","Dual Kazemai (Black Magic)","BLK","Single enemy","Magical","11.88","Wind, NE","0.01","Six single attacks (1.98 each), grants [Black Magic Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541660"
"Dual Awoken Wind Mode II (Fujin)","Dual Kazemai (Ninja)","NIN","Single enemy","Magical","18.64","Wind, NE","0.01","One single attack (18.64), ignores RES, grants [Buff Wind 10% (15s)] to all allies, grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Ninja","31541661"
"Cheerful Cohort Mode","Trabia's Gift","WHT","Single enemy","Magical","-","","0.01","Deals 99999 WHT damage, grants [40% Damage Reduction Barrier 1] to the lowest HP% ally","Y","Lowest HP% enemy","0","White Magic","31541674"
"Dual Awoken Monk Mode I (Zell)","Dual Heat Punch","PHY","Single enemy","Physical","5.81","Fire, NE","0.01","One single attack (4.76/5.27/5.81) capped at 99999 if the user dealt 0/72001/240001+ damage while under [Dual Awoken Monk Mode I (Zell)], 100% hit rate, grants [100% Critical 3] to the user","Y","Lowest HP% enemy","0","Monk","31541684"
"Dual Awoken Instructor Mode I (Quistis - Poison)","Dual Bio Fragrance","BLK","Single enemy","Magical","8.45","Poison, NE","0.01","Five single attacks (1.53/1.61/1.69 each) scaling with uses","Y","Lowest HP% enemy","0","Black Magic","31541723"
"Dual Awoken Ice Mode I: Squall","Dual Renzokuken Icebreaker","PHY","Single enemy","Physical","2.13","Ice, NE","0.01","Three single attacks (0.64/0.67/0.71 each) if the user has Lion's Teachings level 0/1/2, 0%/50%/100% additional critical chance if the user has Lion's Savvy level 0/1/2, grants Lion's Savvy +1 to the user, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541838"
"Chain Force Mode: Squall","Kindred Guidance: Squall","PHY","Single enemy","Physical","2.05","Ice, NE","0.01","One single attack (1.95/2.05) capped at 99999, 100% hit rate, grants [Ice Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Spellblade","31541855"
"Dual Awoken Ice Mode I: Rinoa","Dual Ice Apocalypse","BLK","Single enemy","Magical","14.75","Ice, NE","0.01","Five single attacks (2.67/2.95 each) if not exploiting/exploiting Ice weakness","Y","Lowest HP% enemy","0","Black Magic","31541840"
"Chain Force Mode: Rinoa","Kindred Guidance: Rinoa","BLK","Single enemy","Magical","5.28","Ice, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31541856"
"Awoken Laguna Aide","Pain Thrust","PHY","Single enemy","Physical","4.26","Dark, Ice, NE","0.01","Six single attacks (0.71 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31542209"
"Dual Awoken Laguna Freak Mode II (Ward)","Dual Anchor Crash","PHY","Single enemy","Physical","2.57","Water, Ice, Earth, NE","0.01","One single ranged attack (2.57) capped at 99999, 100% hit rate, grants [Critical Damage +50% 2], [Critical Damage +20% 2] and [Quick Cast 2] to the user, Laguna and Kiros if Laguna and Kiros are alive, grants [Critical Damage +50% 2] to the user if 0-1 of Laguna and Kiros are alive","Y","Lowest HP% enemy","0","Dragoon","31542204"
"Dual Awoken Spellstrike Mode II (Ultimecia) 2","Dual Hell Dimension","BLK","Single enemy","Magical","16.66","Wind, Dark, NE","0.01","One single attack (16.66) capped at 99999, causes [Imperil Wind 20% (15s)], [Imperil Dark 20% (15s)] and [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","0","Black Magic","31542328"
"Chain Force Mode (Ultimecia)","Wind Guidance: Ultimecia","BLK","Single enemy","Magical","8.20","Wind, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Wind Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542335"
"Dual Awoken Earth Mode II (Rinoa)","Dual Earth Fissure","BLK","Single enemy","Magical","16.40","Earth, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31542373"
"EX: Master Thief","Steel Storm","PHY","Single enemy","Physical","1.20","Wind, NE","0.01","One single attack (1.20), 35% chance to cause [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Thief","30511913"
"Freya Trance","Undying Love","PHY","Single enemy","Physical","1.11","Wind, NE","0.01","Three single ranged attacks (0.37 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30528012"
"EX: Black Mage","Memories of Me","BLK","Single enemy","Magical","7.68","Ice, Water, Lightning, NE","0.01","Six single attacks (1.28 each)","Y","Lowest HP% enemy","0","Black Magic","30541227"
"Pluto Knight Triblade Follow-Up","Pluto Knight Triblade","PHY","Single enemy","Physical","1.86","Fire, Lightning, Ice, NE","0.01","Six single attacks (0.31 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547115"
"Summon's Cure Follow-Up","Summon's Cure","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","White Magic","30543110"
"Stock Raid Follow-Up","Stock Raid","PHY","Single enemy","Physical","2.04","Holy, NE","0.01","2/3/4/5/6 single attacks (0.34 each) at rank 1/2/3/4/5 of the triggering ability, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548041"
"Swift Poison Follow-Up","Swift Poison","PHY","Single enemy","Physical","1.76","Wind, Poison, NE","0.01","Four single attacks (0.44 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","30548030"
"Divine Roar Follow-Up","Divine Roar","SUM","Single enemy","Magical","15.60","Lightning, NE","0.01","Ten single attacks (1.56 each), Summoning smart ether 1 to the user","N","Lowest HP% enemy","0","Summoning","30543032"
"Awoken Chant","Thunder Encore","SUM","Single enemy","Magical","16.62","Lightning, NE","0.01","Six single attacks (2.77 each), causes [Imperil Lightning 10%] for 15 seconds","N","Lowest HP% enemy","0","Summoning","30543035"
"Valkyrie Mode","Cross Break","PHY","Single enemy","Physical","6.00","Holy, NE","0.01","One single attack (6.00) capped at 99999, 50/75/100% additional critical chance if the user dealt 0/72001/240001 damage during the status, 100% hit rate, removes [Valkyrie Mode] from the user","Y","Lowest HP% enemy","0","Knight","30548446"
"Gold Frog Follow-Up","Frog Stomp","PHY","All enemies","Physical","4.44","Water, Earth, Poison, NE","0.01","One single ranged attack (4.44) capped at 99999","Y","All enemies","0","Support","30545114"
"Princess's Resolve Mode","Thundercloud Strike","SUM","Single enemy","Magical","16.40","Lightning, NE","0.01","One single attack (16.40) capped at 99999","N","Lowest HP% enemy","0","Summoning","31540057"
"Heart to Heart Mode","Time Permitted","NAT","Self","","","","0.01","Grants [Fire Ability +20% Boost 1] and [Dualcast Fire 1]/[Fire Ability +30% Boost 1] and [Triplecast Fire 1]/[Fire Ability +50% Boost 1], [Quadcast Fire 1] and [Damage Cap +10000 1]/[Fire Ability +70% Boost 1], [Quintcast Fire 1] and [Damage Cap +10000 1] at Time Permitted level 1/2/3/4","N","Self","0","Special","31540243"
"Grim Reaper Mode","Grim Reaper","NAT","Self","","","","0.01","Grants [Dark +15% Boost 1]/[Dark +30% Boost 1]/[Dark +50% Boost 1] if the user has 0/500/1000+ SB points","N","Self","0","Special","31540385"
"Dark Charge Follow-Up","Dark Charge","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Darkness","31540389"
"Honest Heart Follow-Up","Honest Heart (Lightning)","NAT","All enemies","","","","0.01","Causes [Imperil Lightning 10% (15s)]","N","Lowest HP% enemy","0","Summoning","31540579"
"Honest Heart Follow-Up","Honest Heart (Holy)","NAT","All enemies","","","","0.01","Causes [Imperil Holy 10% (15s)]","N","Lowest HP% enemy","0","Summoning","31540586"
"Eye for an Eye Mode","Merciless Counter","PHY","Single enemy","Physical","4.45","Fire, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate, grants [HP Stock (1000)] to all allies, grants [10% Damage Reduction Barrier 1] to the user","N","Lowest HP% enemy","0","Monk","31540642"
"Awoken Power Throw","Flaming Spare Change","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540644"
"Poison Trick (IX) Follow-Up","Poison Trick (IX)","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)] and [Imperil Poison 10% (15s)], grants [Buff Wind 10% (15s)] and [Buff Poison 10% (15s)] to the user","N","Lowest HP% enemy","0","Thief","31540646"
