"ID","Character","Name","Effect"
"201090904","Beatrix","Paladin Paragon","20% chance to cause [Imperil Holy 10% (15s)] to the target after using a Knight ability"
"201091000","Kuja","King of the Dark City","Reduces damage taken by BLK attacks by 10%"
"201091001","Kuja","Death Eternal","35% chance to dualcast abilities that deal Dark damage"
"201091002","Kuja","Ashen Narcissist","Grants [Attach Dark] at the beginning of the battle"
"201091003","Kuja","Perseverance (Kuja)","Restores HP for 100% of the user's maximum HP and grants [MAG +50%, RES -50% (25s)] and [High Quick Cast (25s)] when HP fall below 20%"
"201091501","Marcus","Tantalus Stalwart","Thief abilities deal 15% more damage"
"201091502","Marcus","In the Shadows","35% chance to dualcast Thief abilities"
"201091500","Marcus","Grim Grin","20% chance to cause [Imperil Wind 10% (15s)] to the target after using a Thief ability"
"201100100","Tidus","Stranger Tides","Increases Water damage dealt by 10%"
"201100101","Tidus","Dream to End Dreams","35% chance to dualcast abilities that deal Water damage"
"201100102","Tidus","Moonflow's Grace","Grants [Attach Water] at the beginning of the battle"
"201100103","Tidus","Blitz Basics","35% chance to grant [Quick Cast 1] to the user after using a Water attack"
"201100200","Yuna","Prayer for Spira","WHT abilities restore 15% more HP"
"201100201","Yuna","Father's Footsteps","Increases base MAG by 25% base MND"
"201100202","Yuna","Family Tradition","25% chance to dualcast Summoning abilities"
"201100203","Yuna","Just Whistle","25% chance to dualcast White Magic abilities"
"201100204","Yuna","Unfaltering Devotion","Grants [Attach Holy] at the beginning of the battle"
"201100300","Wakka","Everyone's Brother","Increases Water damage dealt by 10%"
"201100301","Wakka","Blitz Spirit","30% chance to cause [Imperil Water 10% (15s)] to the target after using a Sharpshooter ability"
"201100302","Wakka","Technical Control","Increases the duration of stat debuffs by 30%"
"201100303","Wakka","Victory Awaits","25% chance to dualcast Sharpshooter abilities"
"201100400","Lulu","Witching Ways","BLK attacks deal 10% more damage"
"201100401","Lulu","Dark Temptation","35% chance to dualcast abilities that deal Ice damage"
"201100402","Lulu","Third Pilgrimage","MAG +1% for each hit dealt with BLK attacks that deal Ice damage, up to +20%"
"201100403","Lulu","Depths of Knowledge","Grants [Attach Ice] at the beginning of the battle"
"201100404","Lulu","Harshest Judge","Grants [Attach Water] at the beginning of the battle"
"201100500","Kimahri","Eye on Victory","Increases Water damage dealt by 10%"
"201100501","Kimahri","Hornless Pride","45% chance to counter PHY attacks with an ability (NAT: single, causes [Imperil Water 10%] for 15 seconds)"
"201100502","Kimahri","Spear of Wrath","PHY attacks deal 20% more damage when equipping a spear"
"201100503","Kimahri","Devoted Guardian","Grants [Attach Water] at the beginning of the battle"
"201100504","Kimahri","Re-action (Kimahri)","100% chance to dualcast every third Water ability"
"201100600","Rikku","Spiral Eyes","Celerity abilities deal 15% more damage"
"201100601","Rikku","Al Bhed Prodigy","Increases the duration of stat buffs by 40%"
"201100602","Rikku","Fixer Upper","35% chance to grant [Quick Cast 1] to the user after using a Machinist ability"
"201100603","Rikku","Merry Maker","Grants [Quick Cast 3] at the beginning of the battle"
"201100604","Rikku","Assiduous Al Bhed","25% chance to dualcast abilities that deal Water damage"
"201100700","Auron","Hand of Revelation","PHY attacks deal 10% more damage"
"201100701","Auron","High Guardian","35% chance to dualcast Samurai abilities"
"201100702","Auron","Snarling Dragon","ATK +3% for each hit taken by damaging attacks, up to +35%"
"201100703","Auron","Bound by a Promise","Grants [Attach Fire] at the beginning of the battle"
"201100704","Auron","Catalyst (Auron)","Grants [Stoic Guide Mode] after using three Samurai abilities once per battle"
"201101000","Jecht","Unruly Father","Increases Dark damage dealt by 10%"
"201101001","Jecht","Posterity's Price","35% chance to dualcast abilities that deal Dark damage"
"201101002","Jecht","God of Blitz","Grants [Attach Dark] at the beginning of the battle"
"201101003","Jecht","Regal Demeanor","Grants [Attach Fire] at the beginning of the battle"
"201101004","Jecht","Old Man's Fist","25% chance to dualcast Monk abilities"
"201101200","Braska","Softspoken Summoner","Increases Fire damage dealt by 10%"
"201101201","Braska","High Summoner's Wish","35% chance to dualcast Summoning abilities"
"201101202","Braska","Quiet Fury","Grants [Attach Fire] at the beginning of the battle"
"201101203","Braska","Catalyst (Braska)","Grants [Awoken High Summoner Mode] after using three Fire abilities once per battle"
"201101500","Paine","Wry Pride","Spellblade abilities deal 15% more damage"
"201101501","Paine","Nimble Blade","35% chance to dualcast Spellblade abilities"
"201101502","Paine","Gullwing Enforcer","ATK +2% for each hit dealt with Spellblade abilities, up to +34%"
"201101503","Paine","Long-sought Truths","Grants [Attach Water] at the beginning of the battle"
"201101800","Seymour","Treacherous Ambition","Increases Dark damage dealt by 10%"
"201101801","Seymour","Stealer of Light","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks"
"201101802","Seymour","Apocalyptic Savior","25% chance to dualcast abilities that deal Dark damage"
"201101803","Seymour","A Son's Hatred","Grants [Attach Dark] at the beginning of the battle"
"201101804","Seymour","Hastening (Seymour)","Grants [Quick Cast 3] after using three abilities that deal Dark damage"
"201110100","Shantotto","Peerless Power","BLK attacks deal 10% more damage"
"201110101","Shantotto","Beyond Reproach","Restores HP for 100% of the user's maximum HP and grants [Play Rough Mode] when HP fall below 20%"
"201110102","Shantotto","Master Caster","10% chance to dualcast Witch abilities twice"
"201110103","Shantotto","Superiority Complex","Grants [Attach Lightning] at the beginning of the battle"
"201110104","Shantotto","Menacing Black Mage","MAG +1% for each hit dealt with BLK attacks, up to +20%"
"201110105","Shantotto","Herald (Shantotto)","Grants [Attach Lightning] and [Quick Cast] at the beginning of the battle"
"201110106","Shantotto","Bravery: Shantotto","100% chance to dualcast every third Witch ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of battle"
"201110200","Ayame","Cool Hands","Increases Ice damage dealt by 10%"
"201110201","Ayame","Master of the Path","35% chance to dualcast Samurai abilities"
"201110202","Ayame","No Hesitation","35% chance to grant [Quick Cast 1] to the user after using a Samurai ability"
"201110203","Ayame","Young Gun","Grants [Attach Ice] at the beginning of the battle"
"201110204","Ayame","Onslaught (Ayame)","50% chance to cast Zanshin (XI) after dealing damage with a Samurai ability"
"201110205","Ayame","Bravery: Ayame","Increases Ice damage dealt by 10%, Grants [200% ATB 1] at the beginning of the battle, and casts [Brave Crystal's Might (Ayame)] after using three Samurai abilities (max 1)"
"201110300","Curilla","Tempered Steel","PHY attacks deal 10% more damage"
"201110301","Curilla","Faith in the Dawn","35% chance to grant [Magical Blink 1] to the user after taking damage from an enemy"
"201110302","Curilla","Templar's Charge","30% chance to cover PHY attacks that target allies, reducing damage taken by 20%"
"201110303","Curilla","Heartfelt Devotion","Grants [Quick Cast 3] at the beginning of the battle"
"201110304","Curilla","Re-action (Curilla)","100% chance to dualcast every third Knight ability"
"201110400","Prishe","Patrol Leader","PHY attacks deal 10% more damage when equipping a fist weapon"
"201110401","Prishe","Headstrong Charmer","35% chance to dualcast Monk abilities"
"201110402","Prishe","Magicite Might","Grants [50% Critical] at the beginning of the battle"
"201110403","Prishe","Perfect Beauty","Grants [Quick Cast 3] at the beginning of the battle"
"201110500","Lion","Agent's Shiv","PHY attacks deal 10% more damage when equipping a dagger"
"201110501","Lion","Agent's Barrage","35% chance to dualcast Thief abilities"
"201110502","Lion","Agent's Expertise","Increases the duration of stat debuffs by 30%"
"201110503","Lion","Subversion (Lion)","Causes [Imperil Water 10% (15s)] after using three Water abilities"
"201110600","Aphmau","Caring Puppetmaster","WHT abilities restore 15% more HP"
"201110601","Aphmau","Empress of Peace","Grants Reraise: 80% at the beginning of the battle, grants [Dual Blink 1] to the user when Reraise is triggered"
"201110602","Aphmau","Court Secrets","25% chance to grant [HP Stock (2000)] to the target after using a single-target White Magic ability that restores HP on an ally"
"201110603","Aphmau","Automaton Affinity","25% chance to cast an ability (NAT: group, restores 1000 HP) after using a White Magic or Monk ability"
"201110604","Aphmau","Re-action (Aphmau)","100% chance to dualcast every third White Magic/Monk ability"
"201110700","Zeid","Kindred Hunter","Increases Dark damage dealt by 10%"
"201110701","Zeid","Galkan Secrets","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks"
"201110702","Zeid","Blade of Darkness","Grants [Attach Dark] at the beginning of the battle"
"201110703","Zeid","Wandering Dark Knight","25% chance to dualcast Dark abilities"
"","Zeid","Bravery: Zeid","Increases Physical Damage dealt by 10% when equipped with Sword, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201110800","Lilisette","Best of Both Worlds","PHY attacks deal 10% more damage"
"201110801","Lilisette","Renowned Grace","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability"
"201110802","Lilisette","Brash Dancer","25% chance to dualcast Celerity abilities"
"201110803","Lilisette","Hastening (Lilisette)","Grants [Quick Cast 3] after using three Dancer/Support abilities"
"201110900","Naja","Fickle Master","Increases Earth damage dealt by 10%"
"201110901","Naja","Mithra Muscle","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201110902","Naja","Dream of Glory","Grants [Attach Earth] at the beginning of the battle"
"201110903","Naja","Bravery: Naja","Grants [Instant Cast 1] and [Support SB Gauge +25% Boost] at the start of battle, grants [Quick Cast 3] after using 3 support abilities"
"201111100","Arciela","Blessing of Demons","30% chance to grant [Quick Cast 3] to the user after using a Black Magic or Witch ability"
"201111101","Arciela","Descendent of the First King","35% chance to dualcast Black Magic and Witch abilities"
"201120100","Vaan","Thirst for Adventure","PHY attacks deal 10% more damage when equipping a dagger"
"201120101","Vaan","Skybound","Increases damage dealt by 5/10/15/20/30% if 1/2/3/4/5 of the target's stats are lowered"
"201120102","Vaan","Undaunted Courage","Increases the duration of stat debuffs by 30%"
"201120103","Vaan","Skyward Dreams","25% chance of smart ether 1 to the user after activating a Thief ability"
"201120104","Vaan","Tactless Thief","25% chance to dualcast Thief abilities"
"201120105","Vaan","Brother's Trust","35% chance to grant [Quick Cast 1] to the user after using a Thief ability"
"201120200","Balthier","Cool Customer","Increases Fire damage dealt by 10%"
"201120201","Balthier","Scourge of the Skies","30% chance to cause [Imperil Fire 10% (15s)] to the target after using a Machinist ability"
"201120202","Balthier","Leading Man","25% chance to dualcast Machinist abilities"
"201120203","Balthier","A Pirate's Life","Grants [Attach Fire] at the beginning of the battle"
"201120204","Balthier","Bravery: Balthier (Fire)","Increases Fire damage dealt by 10%, Grants [200% ATB 1] at the beginning of the battle, and casts [Brave Crystal's Might (Balthier)] after using three Machinist abilities (max 1)"
"201120300","Fran","Alluring Archer","PHY attacks deal 10% more damage when equipping a bow"
"201120301","Fran","Boundless Bond","Increases the duration of stat debuffs by 40%"
"201120302","Fran","Brawn and Brains","30% chance to cause [Stun] to the target after using a Support ability when equipping a bow"
"201120303","Fran","Viera Mysteries","Grants [Quick Cast 3] at the beginning of the battle"
"201120304","Fran","Steady Copilot","Grants [Attach Ice] at the beginning of the battle"
"201120305","Fran","Dead Shot","25% chance to dualcast Sharpshooter or Machinist abilities"
"201120306","Fran","Subversion (Fran)","Causes [Imperil Ice 10% (15s)] after using three Ice abilities"
"201120307","Fran","Bravery: Fran","Increases Ice and Lightning damage dealt by 10%, 100% chance to dualcast every third Ice and Lightning ability, Grants [200% ATB 1] at the beginning of the battle"
"201120400","Basch","Captain's Honor","Knight abilities deal 15% more damage"
"201120401","Basch","Sworn to Protect","40% chance to cover PHY attacks that target allies, reducing damage taken by 50%"
"201120402","Basch","For Dalmasca","Grants [Attach Holy] at the beginning of the battle"
"201120403","Basch","Captain's Might","25% chance to dualcast Knight or Samurai abilities"
"201120404","Basch","Onslaught (Basch)","35% chance to cast Inferno Strike after dealing damage with a Holy or Fire ability"
"201120500","Ashe","Regal Bearing","Increases Lightning damage dealt by 10%"
"201120501","Ashe","Queen's Imperium","35% chance to dualcast abilities that deal Lightning damage"
"201120502","Ashe","Fallen Pride","Grants [Attach Lightning] at the beginning of the battle"
"201120503","Ashe","Chosen Future","25% chance to cast an ability (BLK: single, 3x 3.03 magical Lightning/NE, restores 1500 HP to the lowest HP% ally) after dealing damage with a Lightning attack"
"201120505","Ashe","First Strike (Ashe)","Grants [Instant ATB 1] and [Quick Cast] at the beginning of the battle"
"201120600","Penelo","Fearless Friend","WHT abilities restore 15% more HP"
"201120601","Penelo","Dreams of the Dance","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability"
"201120602","Penelo","Compassion's Hand","25% chance to dualcast White Magic abilities"
"201120700","Gabranth","Dark Thoughts","Increases Dark damage dealt by 10%"
"201120701","Gabranth","Fed by Hatred","ATK +2% for each hit dealt with PHY attacks that deal Dark damage, up to +50%"
"201120702","Gabranth","Clad in Darkness","Grants [Attach Dark] at the beginning of the battle"
"201120703","Gabranth","Bound by Vengeance","25% chance to dualcast abilities that deal Dark damage"
"201120704","Gabranth","Magister of the 9th","35% chance to grant Heavy Charge +1 to the user after using a Dark attack"
"201120800","Larsa","Velvet Glove","WHT abilities restore 15% more HP"
"201120801","Larsa","Emperor-In-Waiting","35% chance to dualcast White Magic abilities"
"201120802","Larsa","Arc of Justice","25% chance to grant [Astra] to the target after using a single-target White Magic ability that restores HP on an ally"
"201120803","Larsa","Young Successor","35% chance to grant [Astra] to the user after using a White Magic ability"
"201120804","Larsa","Precocious Wisdom","25% chance to cast an ability (WHT: group, restores HP (25), damages undeads) after using a White Magic ability"
"201121000","Vayne","Unswerving Resolve","Increases Dark damage dealt by 10%"
"201121001","Vayne","War Strider","35% chance to dualcast abilities that deal Dark damage"
"201121002","Vayne","Bathed in Blood","Grants [Attach Dark] at the beginning of the battle"
"201121003","Vayne","Refinement (Vayne)","Increases Dark damage dealt by 25%"
"201121100","Reks","For Family","Spellblade abilities deal 15% more damage"
"201121101","Reks","For King and Country","35% chance to dualcast Spellblade abilities"
"201121102","Reks","Youngest Knight","25% chance to cast an ability (NAT: single, restores HP for 40% of the target's maximum HP) after using a Spellblade ability"
"201121103","Reks","Refinement (Reks)","Increases Lightning damage dealt by 25%"
"201130100","Lightning","Bottled Lightning","Increases Lightning damage dealt by 10%"
"201130101","Lightning","Radiant Champion","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201130102","Lightning","Gleaming Blade","25% chance to dualcast abilities that deal Lightning damage"
"201130103","Lightning","Stoic Warrior","Grants [Attach Lightning] at the beginning of the battle"
"201130104","Lightning","Chosen of Etro","Grants [Attach Holy] at the beginning of the battle"
"201130105","Lightning","Heir of the Goddess","25% chance to dualcast abilities that deal Holy damage"
"201130200","Snow","Fiery Friend","Reduces damage taken by Ice attacks by 10%"
"201130201","Snow","Heartening Hero","Grants [High Sentinel] at the beginning of the battle"
"201130202","Snow","Enduring Resolve","ATK +3% for each hit taken by damaging attacks, up to +35%"
"201130203","Snow","Living Free","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201130204","Snow","NORA Architect","Grants [Attach Ice] at the beginning of the battle"
"201130205","Snow","Fiery Fighter","25% chance to dualcast Monk abilities"
"201130206","Snow","Refinement (Snow)","Increases Ice damage dealt by 25%"
"201130300","Vanille","Pulse Prayer","WHT abilities restore 15% more HP"
"201130301","Vanille","Embracing Salvation","35% chance to dualcast White Magic abilities"
"201130302","Vanille","Gentle Atonement","25% chance to cast an ability (WHT: single, 2.00 magical Holy, DEF/RES -20% (25s)) after using a White Magic ability"
"201130303","Vanille","Constant Companion","25% chance to grant [Heals +30%] for 10 seconds to the user after using a WHT ability"
"201130304","Vanille","Hour of Awakening","35% chance to grant [Quick Cast 1] to the user after using a Support ability"
"201130305","Vanille","Hastening (Vanille)","Grants [Quick Cast 3] after using three White Magic/Support abilities"
"201130400","Sazh","Happy Pappy","Support abilities deal 15% more damage"
"201130401","Sazh","Fatherly Love","Increases the duration of stat buffs by 40%"
"201130402","Sazh","Struggling Father","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201130403","Sazh","First-Class Pilot","25% chance to dualcast Machinist abilities"
"201130404","Sazh","Hastening (Sazh)","Grants [Quick Cast 3] after using three Machinist/Support abilities"
"201130500","Hope","Maternal Memory","Increases Holy damage dealt by 10%"
"201130501","Hope","Beyond Love and Hate","35% chance to dualcast abilities that deal Holy damage"
"201130502","Hope","Eye on the Prize","Grants [Attach Holy] at the beginning of the battle"
"201130503","Hope","Academy Prodigy","Grants [Quick Cast 3] at the beginning of the battle"
"201130504","Hope","Refinement (Hope)","Increases Holy damage dealt by 25%"
"201130600","Fang","Dauntless Warrior","Increases Wind damage dealt by 10%"
"201130601","Fang","Roar On High","35% chance to cast an ability (PHY: single, 4x 0.54 ranged physical Wind/NE) after using a Dragoon ability"
"201130602","Fang","Peerless Fighter","Dragoon abilities deal 25% more damage when equipping a spear"
"201130603","Fang","Cocky Comrade","Grants [Attach Wind] at the beginning of the battle"
"201130604","Fang","Oath of Protection","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201130605","Fang","Brutal Affection","25% chance to dualcast Dragoon abilities"
"201130700","Serah","Undaunted Hope","Increases Ice damage dealt by 10%"
"201130701","Serah","Time Traveller","MAG +1% for each hit dealt with BLK attacks that deal Ice damage, up to +30%"
"201130702","Serah","Second Sight","25% chance to dualcast abilities that deal Ice damage"
"201130703","Serah","Sister's Strength","Grants [Attach Ice] at the beginning of the battle"
"201130704","Serah","Meanie Miss","Grants [Attach Water] at the beginning of the battle"
"201130705","Serah","Re-action (Serah)","100% chance to dualcast every third Water ability"
"201130706","Serah","Velocity (Serah)","Grants [Quick Cast] at the beginning of the battle, begins the round with full ATB gauge"
"201131000","Cid Raines","Young Idealist","BLK attacks deal 10% more damage"
"201131001","Cid Raines","Seraphic Might","35% chance to dualcast abilities that deal Holy or Dark damage"
"201131002","Cid Raines","Mouth of the Dead","Increases the duration of stat buffs by 30%"
"201131003","Cid Raines","Tragic End","Grants [Attach Dark] at the beginning of the battle"
"201131004","Cid Raines","Hastening (Cid Raines)","Grants [Quick Cast 3] after using three abilities that deal Dark or Holy damage"
"201131100","Noel","Hunter from Tomorrow","PHY attacks deal 10% more damage"
"201131101","Noel","Rewriting History","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201131102","Noel","Trailblazing Swordsman","PHY attacks deal 20% more damage when equipping a sword"
"201131103","Noel","A Hunter's Heart","25% chance to dualcast abilities that deal Ice damage"
"201131104","Noel","Vitality Overflowing","Grants [Attach Ice] at the beginning of the battle"
"201131105","Noel","Nomad Child","Grants [Attach Water] at the beginning of the battle"
"201131200","Nabaat","Chilling Instincts","Increases Dark damage dealt by 10%"
"201131201","Nabaat","Belied Ambition","30% chance to cause [Imperil Dark 10% (15s)] to the target after using a Dark attack"
"201131202","Nabaat","Manifest Evil","25% chance to dualcast abilities that deal Dark damage"
"201131203","Nabaat","Top of the Class","35% chance to grant [Quick Cast 1] to the user after using a Dark attack"
"201140100","Y'shtola","Imperfect Art","WHT abilities restore 15% more HP"
"201140101","Y'shtola","Stunning Scion","35% chance to dualcast White Magic abilities"
"201140102","Y'shtola","Master of Mending","30% chance to remove negative effects to the target after using a single-target White Magic ability that restores HP on an ally"
"201140103","Y'shtola","Price of Power","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability"
"201140104","Y'shtola","Master Matoya","25% chance to dualcast Black Magic and Witch abilities"
"201140105","Y'shtola","Bravery: Y'shtola","Increases Black Magic dealt by 20% when equipped with Staff, and casts [Instant Cast 1] after using two Black Magic/Witch abilities (max 1)"
"201140200","Thancred","Wandering Scion","PHY attacks deal 10% more damage when equipping a dagger"
"201140201","Thancred","Bag of Tricks","35% chance to grant [Physical Blink 1] to the user after using a Ninja ability"
"201140203","Thancred","Natural Grace","25% chance to dualcast Ninja abilities"
"201140300","Yda","Unquenchable Spark","Increases Fire damage dealt by 10%"
"201140301","Yda","Martial Instincts","35% chance to dualcast Monk abilities"
"201140302","Yda","Famed Fighter","25% chance to grant [Stoneskin: 30%] to the user after using a Monk ability"
"201140303","Yda","Moonfire Liberator","Grants [Attach Fire] at the beginning of the battle"
"201140500","Papalymo","Overseer of the Circle","Increases Fire damage dealt by 10%"
"201140501","Papalymo","Thaumaturgic Flair","35% chance to dualcast abilities that deal Fire damage"
"201140502","Papalymo","Practiced Prestidigitator","Grants [Attach Fire] at the beginning of the battle"
"201140503","Papalymo","Sharp-Tongued Lalafell","25% chance to dualcast abilities that deal Fire damage"
"201140504","Papalymo","Refinement (Papalymo)","BLK attacks deal 25% more damage"
"201140601","Alphinaud","Newfound Resolve","SUM attacks deal 10% more damage"
"201140602","Alphinaud","Salvation's Stratagem","35% chance to dualcast Summoning abilities"
"201140603","Alphinaud","Journey of Discovery","Grants [Attach Wind] at the beginning of the battle"
"201140604","Alphinaud","Herald (Alphinaud)","Grants [Attach Wind] and [Quick Cast] at the beginning of the battle"
"201140605","Alphinaud","Bravery: Alphinaud (Wind)","Increases Wind damage dealt by 10%, 100% chance to dualcast every third Wind ability, Grants [Instant Cast 1] at the beginning of the battle"
"201140700","Minfilia","Blessed of the Twelve","Increases Holy damage dealt by 10%"
"201140701","Minfilia","Courage of Halone","30% chance to cause [Imperil Holy 10% (15s)] to the target after using a Knight ability"
"201140702","Minfilia","Who Walks Before","Increases the duration of stat buffs by 30%"
"201140703","Minfilia","Linkshell Master","Grants [Quick Cast 3] at the beginning of the battle"
"201140704","Minfilia","Bravery: Minfilia","Restores 1000 HP to all allies every 3 Knight/Support ability, Grants [200% ATB 1] at the start of the battle, and casts [Soul Break Gauge +250] to the user after using 3 Knight/Support abilities (max 1)"
"201140801","Cid (XIV)","Wisdom of Allag","Machinist abilities deal 15% more damage"
"201140802","Cid (XIV)","Skyfaring Engineer","35% chance to dualcast Machinist abilities"
"201140803","Cid (XIV)","Toiling for Freedom","Machinist abilities deal 25% more damage when equipping a gun"
"201140901","Ysayle","Divine Burden","Increases Ice damage dealt by 10%"
"201140902","Ysayle","Shiva's Vessel","30% chance to grant [Quick Cast 3] to the user after using a Ice attack"
"201140903","Ysayle","The Greater Good","20% chance to cause [Imperil Ice 10% (15s)] to the target after using a Ice attack"
"201140904","Ysayle","Lady Iceheart","25% chance to dualcast abilities that deal Ice damage"
"201141001","Haurchefant","Silver Swordsman","Knight abilities deal 15% more damage"
"201141002","Haurchefant","Fortemps Fortitude","Restores HP for 100% of the user's maximum HP and grants [Last Stand] and [HP Stock (2000)] when HP fall below 20%"
"201141003","Haurchefant","Vows Unbroken","25% chance to reduce damage taken by 30% when equipping a shield"
"201141004","Haurchefant","Smile of a Hero","25% chance to dualcast Knight abilities"
"201141005","Haurchefant","Hastening (Haurchefant)","Grants [Quick Cast 3] after using three Knight abilities"
"201141101","Estinien","Set on Vengeance","Dragoon abilities deal 15% more damage"
"201141102","Estinien","Azure Dragoon","30% chance to grant [Quick Cast 3] to the user after using a Dragoon ability"
"201141103","Estinien","Piercing Purpose","Grants [Attach Wind] at the beginning of the battle"
"201141104","Estinien","Re-action (Estinien)","100% chance to dualcast every third Wind/Dark ability"
"201141200","Alisaie","Spirited Swimmer","BLK attacks deal 10% more damage"
"201141201","Alisaie","Progeny of the Circle","35% chance to dualcast Black Magic and White Magic abilities"
"201141202","Alisaie","Onslaught (Alisaie)","50% chance to cast Scatter after using a Black Magic or White Magic ability"
"201150100","Noctis","Path of the True King","PHY attacks deal 10% more damage"
"201150101","Noctis","Heir to Greatness","Grants [Haste] and [Instant Cast 3] at the beginning of the battle"
"201150102","Noctis","Divine Revelation","25% chance to dualcast Combat abilities"
"201150103","Noctis","Bringer of Dawn","PHY attacks deal 20% more damage when equipping a sword"
"201150104","Noctis","Unwavering Friendship","Grants [Attach Fire] at the beginning of the battle"
"201150105","Noctis","Bravery: Noctis","100% chance to dualcast every third Fire or Earth or Lightning ability, grants [Instant Cast 3] at the beginning of battle"
"201150200","Gladiolus","Leader of the Van","PHY attacks deal 10% more damage when equipping a sword"
"201150201","Gladiolus","To Duty Born","ATK +3% for each hit taken by damaging attacks, up to +50%"
"201150202","Gladiolus","Shield of the King","30% chance to cover PHY attacks that target allies, reducing damage taken by 20%"
"201150203","Gladiolus","Prince's Pillar","25% chance to dualcast Knight abilities"
"201150204","Gladiolus","Trusted Shield","Grants [Attach Earth] at the beginning of the battle"
"201150205","Gladiolus","Bravery: Gladiolus","Increases physical damage dealt by 10% when equipped with Sword, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201150300","Ignis","Young Philosopher","Increases Fire damage dealt by 10%"
"201150301","Ignis","Lighting the Way","35% chance to dualcast abilities that deal Fire damage"
"201150302","Ignis","Earnest Chef","Grants [Quick Cast 3] at the beginning of the battle"
"201150303","Ignis","Overcoming Adversity","Grants [Attach Fire] at the beginning of the battle"
"201150400","Prompto","Memorable Journey","Increases Lightning damage dealt by 10%"
"201150401","Prompto","Fast Friends","30% chance to cause [Imperil Lightning 10% (15s)] to the target after using a Machinist ability"
"201150402","Prompto","Common Valor","25% chance to dualcast Machinist abilities"
"201150403","Prompto","Uncommon Friendship","Grants [Haste] and [Instant Cast 1] at the beginning of the battle"
"201150404","Prompto","Bravery: Prompto","Increases Lightning damage dealt by 10%, chases every 2 equipped Lightning abilities with 4 single ranged attacks (0.80 each) with a 50% chance to cause [Imperil Lightning 10% (15s)], and Grants [Instant Cast 1] at the beginning of the battle"
"201150500","Iris","Amicitia Touch","WHT abilities restore 15% more HP"
"201150501","Iris","Got Your Back","MND +1% for each hit dealt with White Magic abilities, up to +35%"
"201150502","Iris","Amicitia Line","25% chance to dualcast White Magic abilities"
"201150503","Iris","Hidden Admiration","35% chance to grant [Quick Cast 1] to the user after using a White Magic or Monk ability"
"201150600","Aranea","Edgy Mercenary","Increases Lightning damage dealt by 10%"
"201150601","Aranea","Airborne Commander","ATK +2% for each hit dealt with Dragoon abilities, up to +50%"
"201150602","Aranea","Soaring Valkyrie","Grants [Attach Lightning] at the beginning of the battle"
"201150603","Aranea","Magitek Dragoon","25% chance to dualcast Dragoon abilities"
"201150604","Aranea","Onslaught (Aranea)","50% chance to cast Magitek Thrust after using a Dragoon ability"
"201150800","Cor","Loyal Retainer","Samurai abilities deal 15% more damage"
"201150801","Cor","The Immortal","35% chance to dualcast Samurai abilities"
"201150802","Cor","Stern Veteran","Grants [Attach Fire] at the beginning of the battle"
"201150803","Cor","Bravery: Cor","Increases Physical damage dealt by 10% when equipped with katana, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle"
"201150900","Lunafreya","Voice of Gods","SUM attacks deal 10% more damage"
"201150901","Lunafreya","Chosen Devotion","35% chance to dualcast Summoning abilities"
"201150902","Lunafreya","Guide of Kings","Grants [Attach Water] at the beginning of the battle"
"201151000","Ardyn","Elusive Cipher","PHY attacks deal 10% more damage"
"201151001","Ardyn","King in the Shadows","35% chance to dualcast abilities that deal Dark or Fire damage"
"201151002","Ardyn","Onslaught (Ardyn)","35% chance to cast an ability (PHY: single, 3x 0.39 physical Dark/Fire/NE, heals the user for 20% of the damage dealt) after dealing damage with a Dark or Fire ability"
"201151100","Ravus","High Commander","30% chance to grant [Quick Cast 3] to the user after using a Lightning or Dark ability"
"201151101","Ravus","Uncommon Hatred","35% chance to dualcast Lightning and Dark abilities"
"201500100","Ramza","Strength of Conviction","Support abilities deal 15% more damage"
"201500101","Ramza","Beoulve Spirit","Increases the duration of stat buffs by 40%"
"201500102","Ramza","True Hero","Grants [Instant Cast 1] at the beginning of the battle, begins the round with full ATB gauge"
"201500103","Ramza","Ambitious Knight","25% chance to dualcast abilities that deal Holy damage"
"201500104","Ramza","Martial Pedigree","Grants [Attach Holy] at the beginning of the battle"
"201500200","Agrias","Knight's Devotion","Increases Holy damage dealt by 10%"
"201500201","Agrias","Knight's Finesse","30% chance to cause [Imperil Holy 10% (15s)] to the target after using a Knight ability"
"201500202","Agrias","Unshakeable Faith","25% chance to dualcast Knight abilities"
"201500203","Agrias","Princess's Shield","Grants [Attach Holy] at the beginning of the battle"
