"Common Name","Effects","Default Duration","MND Modifier","Exclusive Status","ID"
"Dual Awoken Ninja Mode I (Edge - Poison)","Ninja abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Ninja abilities, cast speed x2.00 for equipped Ninja abilities","15","-","Awoken Ninja","50503009"
"Dual Awoken Ninja Mode II (Edge - Poison)","Ninja abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, doublecasts Ninja abilities, cast speed x9999999 for Ninja abilities, and chases a ninja ability with Eblan Style Poison Fang, lasts for 1 turn","-","-","Dual Awoken Ninja Mode I (Edge - Poison), Awoken Ninja","50503010"
"Dual Awoken Ninja Mode I (Yuffie)","Ninja abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Ninja abilities, Deadly strikes 5/10/15/20% for equipped Ninja abilities after using 1/2/3/4+ Ninja abilities","15","-","Awoken Ninja","50503011"
"Dual Awoken Ninja Mode II (Yuffie)","Ninja abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Ninja abilities, chases a ninja ability with The Art of Leaping Forward, lasts for 1 turn","-","-","Dual Awoken Ninja Mode I (Yuffie), Awoken Ninja","50503012"
"Fleeting Instant Follow-Up","Casts Fleeting Instant after using two Ninja abilities","15","-","-","50504"
"Awoken Savior","White Magic abilities don't consume uses, cast speed x3.00 for White Magic abilities, casts Holy Wave after using White Magic abilities","15","-","-","50505"
"Dual Awoken Savior Mode I (Aerith)","Cast speed x2.00 White Magic abilities, grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] to all allies after using White Magic abilities at rank 1/2/3/4/5","15","-","Awoken Savior","50505001"
"Dual Awoken Savior Mode II (Aerith)","Cast speed x9999999 for White Magic abilities, restores HP (55) to all allies after using White Magic abilities, grants [Physical Instant Cast 1] and [Last Stand] to all allies after using White Magic abilities, lasts for 1 turn","-","-","Dual Awoken Savior Mode I (Aerith), Awoken Savior","50505002"
"Ground Dive Follow-Up","Casts Ground Dive after using two Dark attacks","15","-","-","50506"
"Dark Ray Follow-Up","Casts Dark Ray after using two Dark attacks","15","-","-","50507"
"Eblan Tactics Follow-Up","Casts Eblan Tactics after using a Ninja ability","15","-","-","50513"
"Direct Volley Follow-Up","Casts Direct Volley after using two Sharpshooter abilities","15","-","-","50514"
"Awoken Potion","White Magic abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for White Magic abilities at ability rank 1/2/3/4/5, casts Custom Potion after using a White Magic ability","15","-","-","50516"
"Awoken Keeper Mode Critical Chance","Critical chance =60/70/80/90/100% if the granting user has used 1/2/3/4/5+ Support abilities","15","-","-","50517"
"Viera Shot Follow-Up","Casts Viera Shot after using two Ice attacks","15","-","-","50518"
"Blind Stud Follow-Up","Casts Blind Stud (BLK) after using a Black Magic ability, casts Blind Stud (SUM) after using a Summoning ability","15","-","-","50519"
"Awoken Heavy Physical","Heavy abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, grants [Heavy Charge +1] after using a Heavy ability","15","-","-","50520"
"Dual Awoken Heavy Mode I (Cinque)","Heavy abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Heavy abilities, cast speed x2.00/x2.50/x3.00 and critical chance =50%/75%/100% for equipped Heavy abilities after casting 1/2/3+ Heavy abilities","15","-","Awoken Heavy Physical","50520001"
"Dual Awoken Heavy Mode II (Cinque)","Equipped Heavy abilities deal 30% more damage, cast speed x999999 for equipped Heavy abilities, casts D Spirit after using equipped Heavy abilities, lasts for 1 turn","-","-","Dual Awoken Heavy Mode I (Cinque), Awoken Heavy Physical","50520002"
"Concentrate (Type-0) Follow-Up","Casts Concentrate (Type-0) after using two Sharpshooter abilities","15","-","-","50521"
"EX: Snipe Mode","ATK +30%, casts Raining Arrows when removed","15","-","-","50522"
"Awoken Zephyr","Wind abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Wind abilities","15","-","-","50523"
"Violent Storm Follow-Up","Casts Violent Storm 1/2/3 after using 1/2/3 + 3n Wind attacks","15","-","-","50524"
"Twin Element Mode (Wind/Fire)","Grants [Attach Wind] after using a Wind ability, grants [Attach Fire] after using a Fire ability, lasts for 1 turn","15","-","-","50525"
"Twin Anchor Follow-Up","Casts Twin Anchor after using three Thief abilities","15","-","-","50526"
"Retsu Follow-Up","Casts Retsu after using two Wind attacks","15","-","-","50527"
"Dragon Strike Mode","Grants [Dragon Strike 1]/[Dragon Strike 2]/[Dragon Strike 3]/[Dragon Strike 4] after using 1/2/3/4 Dragoon abilities","15","-","-","50528"
"Dragon Strike 1","Dragoon abilities deal 15% more damage, Critical chance =30%, removed if the user hasn't Dragon Strike Mode","15","-","-","50529"
"Dragon Strike 2","Dragoon abilities deal 30% more damage, Critical chance =50%, removed if the user hasn't Dragon Strike Mode","15","-","-","50530"
"Dragon Strike 3","Dragoon abilities deal 50% more damage, Critical chance =75%, removed if the user hasn't Dragon Strike Mode","15","-","-","50531"
"Dragon Strike 4","Dragoon abilities deal 70% more damage, Critical chance =100%, removed if the user hasn't Dragon Strike Mode","15","-","-","50532"
"Awoken Rhapsody","Dancer abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Dancer abilities at ability rank 1/2/3/4/5, dualcasts Dancer abilities","15","-","-","50533"
"Awoken Beast","Combat and Celerity abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Combat and Celerity abilities","15","-","-","50534"
"Fevered Rhapsody Follow-Up","Casts Fevered Rhapsody after using three Dancer abilities","15","-","-","50535"
"General's Slash Follow-Up","Casts General's Slash after using a Knight ability","15","-","-","50536"
"Creator Mode","Casts Fickle Crush after using 3 Earth attacks","15","-","-","50537"
"Awoken 2P","White Magic abilities don't consume uses, dualcasts White Magic abilities, casts Banishra after using 2 White Magic abilities","15","-","-","50538"
"Gleed Surge Mode","Critical chance =100%, casts Crimson Straight after using 3 Fire attacks, removed if the user doesn't have any Stoneskin","15","-","-","50539"
"Doom Timer +5","Increases the character's Doom timer by 5 when set","-","-","-","50540"
"Doom Timer +10","Increases the character's Doom timer by 10 when set","-","-","-","50541"
"Doom Timer +15","Increases the character's Doom timer by 15 when set","-","-","-","50542"
"Doom Timer +20","Increases the character's Doom timer by 20 when set","-","-","-","50543"
"Doom Timer +25","Increases the character's Doom timer by 25 when set","-","-","-","50544"
"Doom Timer +30","Increases the character's Doom timer by 30 when set","-","-","-","50545"
"Awoken Automaton Mode","White Magic and Monk abilities don't consume uses, cast speed x3.00 for White Magic and Monk abilities, grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] to all allies after using White Magic or Monk abilities at rank 1/2/3/4/5","15","-","-","50546"
"Dual Awoken Automaton Mode I (Aphmau)","Cast speed x2.00/x2.50/x3.00 for White Magic and Monk abilities after using 1/2/3+ White Magic or Monk abilities, increases healing done by White Magic and Monk abilities by 10%/15%/20% after using 1/2/3+ White Magic or Monk abilities, casts Dual Activate: Cure after using White Magic or Monk abilities","15","-","Awoken Automaton","50546001"
"Dual Awoken Automaton Mode II (Aphmau)","Cast speed x9999999 for White Magic abilities, casts Dual Imperial Shield after using White Magic abilities, lasts for 1 turn","-","-","Dual Awoken Automaton Mode I (Aphmau), Awoken Automaton","50546002"
"Imperial Heal","Grants [Quick Cast 1] to all allies in the character's row after using a White Magic ability","15","-","-","50547"
"True Strike","Grants [Physical High Quick Cast 1] to all allies in the front row after using an Earth attack","15","-","-","50548"
"Awoken Leap","Dragoon and Dancer abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Dragoon and Dancer abilities at ability rank 1/2/3/4/5, dualcasts Dragoon and Dancer abilities","15","-","-","50549"
"Dual Awoken Leap Mode I (Freya)","Dragoon abilities deal 30% more damage, triplecasts Dragoon and Dancer abilities, cast speed x9999999 for Dancer abilities, grants [HP Stock (3000)] to all allies after using two Dragoon or Dancer abilities","15","-","Awoken Leap","50549001"
"Dual Awoken Leap Mode II (Freya)","Cast speed x9999999 for Dancer abilities, grants [Jump Instant Cast 1], [No Air Time 1], [Dragoon +50% Boost 1], [Damage Cap +10000 1] and [Dualcast Dragoon 1] to all allies after using a Dragoon or Dancer ability, lasts for 1 turn","-","-","Dual Awoken Leap Mode I (Freya), Awoken Leap","50549002"
"Awoken Chant","Summoning and Bard abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Summoning and Bard abilities at ability rank 1/2/3/4/5, casts Thunder Encore after using two Summoning or Bard abilities","15","-","-","50550"
"Dual Awoken Chant Mode I (Garnet - Lightning)","Dualcasts Summoning and Bard abilities, Summoning and Bard abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x3.00 for Summoning and Bard abilities, causes [Imperil Lightning 10% (5s)] after using Summoning abilities, grants [Quick Cast 2] to all allies once per battle after using a Bard ability, Summoning smart ether 2 to the user once per battle after using a Bard ability","15","-","Awoken Chant","50550001"
"Dual Awoken Chant Mode II (Garnet - Lightning)","Increases the damage/healing cap by 10000, cast speed x2.00/2.25/2.50/2.75/3.00 for Summoning and Bard abilities at ability rank 1/2/3/4/5, dualcasts Summoning and Bard abilities, casts Dual Light of Protection after using Summoning and Bard abilities, lasts for 3/3/2/1/0 turns if the user had [Dual Awoken Chant Mode I (Garnet - Lightning)] for 1/2/3/4/5+ turns","-","-","Dual Awoken Chant Mode I (Garnet - Lightning), Awoken Chant","50550002"
"Howling Stone Follow-Up","Casts Howling Stone after using two Earth attacks","15","-","-","50551"
"Synchro Mode","Replaces the Attack and Defend commands","15","-","Burst Mode, Brave Mode","50552"
"Denial of Fate Follow-Up","Casts Denial of Fate after using two Knight abilities","15","-","-","50553"
"Fateful Mantra","Grants [40% Damage Reduction Barrier 1] to all allies after using a Lightning attack","15","-","-","50554"
"Archivist's Teachings Follow-Up","Casts Archivist's Teachings after using 3 Black Magic or Summoning abilities","15","-","-","50555"
"Awoken Archivist","Black Magic and Summoning abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Black Magic and Summoning abilities","15","-","-","50556"
"Awoken Empath","White Magic and Support abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for White Magic and Support abilities at ability rank 1/2/3/4/5, casts Selfless Prayer after using a White Magic or Support ability","15","-","-","50557"
"Dual Awoken Empath Mode I (Vanille)","Cast speed x2.00/x2.50/x3.00 for White Magic and Support abilities after using 1/2/3+ White Magic or Support abilities, increases healing done by White Magic and Support abilities by 10%/15%/20% after using 1/2/3+ White Magic or Support abilities, casts Dual Compassionate Prayer after using White Magic or Support abilities","15","-","Awoken Empath","50557001"
"Dual Awoken Empath Mode II (Vanille)","Cast speed x9999999 for White Magic and Support abilities, casts Dual Quick Cura after using White Magic or Support abilities, lasts for 1 turn","-","-","Dual Awoken Empath Mode I (Vanille), Awoken Empath","50557002"
"Storm of Darkness Follow-Up","Casts Storm of Darkness after using a Wind attack","15","-","-","50558"
"Lance Mastery Mode","Grants [Lance Mastery 1]/[Lance Mastery 2]/[Lance Mastery 3]/[Lance Mastery 4] after using 1/2/3/4+ Dragoon abilities","15","-","-","50559"
"Lance Mastery 1","Critical chance =30%, removed if the user hasn't Lance Mastery 0","15","-","Lance Mastery 2, Lance Mastery 3, Lance Mastery 4","50560"
"Lance Mastery 2","Critical chance =50%, removed if the user hasn't Lance Mastery 0","15","-","Lance Mastery 1, Lance Mastery 2, Lance Mastery 4","50561"
"Lance Mastery 3","Critical chance =75%, removed if the user hasn't Lance Mastery 0","15","-","Lance Mastery 1, Lance Mastery 2, Lance Mastery 3","50562"
"Lance Mastery 4","Critical chance =100%, removed if the user hasn't Lance Mastery 0","15","-","-","50563"
"Awoken Stormborn","Celerity and Support abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Celerity and Support abilities at ability rank 1/2/3/4/5, casts Technical Rush after using a Celerity or Support ability","15","-","-","50564"
"Dual Awoken Stormborn Mode I (Shelke)","Dualcasts Celerity abilities, cast speed x2.00 for Celerity and Support abilities, causes [Imperil Lightning 10% (15s)] after using Celerity or Support abilities","15","-","Awoken Stormborn","50564001"
"Dual Awoken Stormborn Mode II (Shelke)","Cast speed x9999999 for Celerity and Support abilities, grants [100% Critical (15s)] to all allies after using Celerity or Support abilities, lasts for 1 turn","-","-","Dual Awoken Stormborn Mode I (Shelke), Awoken Stormborn","50564002"
"Thunder Sword Rush Follow-Up","Grants [Physical High Quick Cast 1] to all allies in the front row after using a Lightning attack","15","-","-","50565"
"Enlightening Breeze Follow-Up","Casts Enlightening Breeze after using two Wind attacks","15","-","-","50566"
"Thunder Barret Follow-Up","Casts Thunder Barret 1/2 after using 1+2n/2+2n Lightning attacks","15","-","-","50567"
"Dynamic Mix Follow-Up","Grants [40% Damage Reduction Barrier 1] to all allies after using a Water attack","15","-","-","50568"
"Angelo Shot Follow-Up","Casts Angelo Shot after using three Earth attacks","15","-","-","50569"
"Awoken Primordial","Earth abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Earth abilities","15","-","-","50570"
"Starforge Mode","Increases Earth attack level by 5, casts Grand Apocalypse after using five Earth attacks","15","-","-","50572"
"Pulverizing Blow Follow-Up","Casts Pulverizing Blow after using four Earth attacks","15","-","-","50573"
"Wind High Quick Cycle","Grants [High Quick Cast 1] after using a Wind attack","15","-","-","50574"
"50% Damage Reduction Barrier 1","Reduces damage taken by 50% for the next attack","-","-","-","50575"
"Kindling Rage Mode","Fire attacks deal 15/30/50/75% more damage after using 0/1/2/3 Fire attacks, casts Flame Bomber after using four Fire attacks","15","-","-","50576"
"Fear Mode","Grants [Overflow Earth Radiant Shield: 125%]/[Overflow Earth Radiant Shield: 200%]/[Overflow Earth Radiant Shield: 300%] after using 1/2/3+ Earth attacks","15","-","-","50577"
"Thunderous Squall Follow-Up","Casts Thunderous Squall after using three Lightning attacks","15","-","-","50578"
"Valkyrie Mode","Casts Cross Break after using three Holy attacks","15","-","-","50580"
"New Red Wings Mode","Critical chance =100%, increases Holy damage dealt by 50%, cast speed x9999999, lasts for 3 turns","15","-","-","50581"
"Instant ATB 1","Increase ATB charge speed by x9999999, lasts for 1 turn","-","-","-","50582"
"Glimpse of Divinity Follow-Up","Casts Glimpse of Divinity after using two White Magic abilities","15","-","-","50583"
"Special Bonus","Grants [Buff Earth 10% (15s)] to all allies after using three Earth attacks","15","-","-","50584"
"Twin Rush","Grants [Physical High Quick Cast 1] to all allies in the front row after using a Holy ability","15","-","-","50585"
"Awoken Soother","White Magic and Bard abilities don't consume uses, cast speed x3.00 for White Magic and Bard abilities, grants [Stoneskin: 10%]/[Stoneskin: 15%]/[Stoneskin: 20%]/[Stoneskin: 25%]/[Stoneskin: 30%] after using White Magic or Bard abilities at rank 1/2/3/4/5","15","-","-","50586"
"Dual Awoken Soother Mode I (Deuce)","Cast speed x2.00/x2.50/x3.00 for White Magic and Bard abilities after using 1/2/3+ White Magic or Bard abilities, increases healing done by White Magic and Bard abilities by 10%/15%/20% after using 1/2/3+ White Magic or Bard abilities, grants [Stoneskin: 10%]/[Stoneskin: 15%]/[Stoneskin: 20%]/[Stoneskin: 25%]/[Stoneskin: 30%] after using White Magic or Bard abilities at rank 1/2/3/4/5
","15","-","Awoken Soother","50586001"
"Dual Awoken Soother Mode II (Deuce)","Cast speed x9999999 for White Magic or Bard abilities, casts Soothing Whistle after using White Magic or Bard abilities, lasts for 1 turn","-","-","Dual Awoken Soother Mode I (Deuce), Awoken Soother","50586002"
"Righteous Fist Mode","Critical chance =100%, cast speed x2.00, casts Ice Cluster after using three Monk abilities, removed if user hasn't any Physical Blink","15","-","-","50587"
"Stoneskin: 25%","Reduces damage taken to 0, up to an amount of damage equal to 25% of the character's maximum HP","-","-","-","50588"
"Strike Water Mode","Grants [Magical High Quick Cast 1] to all allies in the back row after using a Water ability","15","-","-","50589"
"Rain Arrow Follow-Up","Casts Rain Arrow after using a Water attack","15","-","-","50590"
"Stoneskin: 10%","Reduces damage taken to 0, up to an amount of damage equal to 10% of the character's maximum HP","-","-","-","50591"
"Stoneskin: 15%","Reduces damage taken to 0, up to an amount of damage equal to 15% of the character's maximum HP","-","-","-","50592"
"Stoneskin: 20%","Reduces damage taken to 0, up to an amount of damage equal to 20% of the character's maximum HP","-","-","-","50593"
"Dr. Mog Trance","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks deal 25% more damage","25","-","-","50594"
"Awoken Stalwart","Earth abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, casts Persistent Strike after using an Earth attack","15","-","-","50595"
"Do-or-Die","Removed if the user doesn't have any Stoneskin, grants [Instant Cast] and [Last Stand] when removed","-","-","-","50596"
"Lupine Pulse Follow-Up","Casts Lupine Pulse after using two Ninja abilities","15","-","-","50597"
"Second Home Follow-Up","Casts Second Home after using two Earth attacks","15","-","-","50598"
"Transparent Thunderclap Follow-Up","Grants [40% Damage Reduction Barrier 1] to all allies after using a Celerity or Support ability","15","-","-","50599"
"Lance Mastery 0","Cast speed x2.00","15","-","-","50600"
"Awoken Altruist","Holy and Water abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Holy and Water abilities","15","-","-","50601"
"Dual Awoken Altruist Mode I (Arc)","Holy and Water abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Holy and Water abilities, casts Dual Saintly Splash after Holy and Water abilities","15","-","Awoken Altruist ","50601001"
"Dual Awoken Altruist Mode II (Arc)","Increase the damage/healing cap by 20000, Holy and Water abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Holy and Water abilities, restores 2000 HP to all allies after using Holy and Water abilities, grants [Water/Holy Ability Quick Cast 1] to the user after using Holy and Water abilities, lasts for 3/3/2/1/0 turns if the user had [Dual Awoken Altruist Mode I (Arc)] for 1/2/3/4/5+ turns","-","-","Dual Awoken Altruist Mode I (Arc), Awoken Altruist ","50601002"
"Dual Awoken Altruist Mode I (Arc v2)","Holy and Water abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x2.00/2.50/3.00 for equipped Holy/Water abilities after using 1/2/3+ Holy/Water abilities, triplecasts Holy and Water abilities","-","-","Awoken Altruist ","50601003"
"Dual Awoken Altruist Mode II (Arc v2)","Holy and Water abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x999999 for Holy/Water abilities, chase Holy/Water abilities with D Saint Bible, lasts for 1 turn","-","-","Dual Awoken Altruist Mode I (Arc v2), Awoken Altruist ","50601004"
"Twin Element Mode (Arc)","Grants [Attach Holy] after using a Holy ability, grants [Attach Water] after using a Water ability, lasts for 1 turn","15","-","-","50602"
"Sacred Breath Follow-Up","Casts Sacred Breath after using three Water or Holy attacks","15","-","-","50603"
"Gentle Thunder Follow-Up","Casts Gentle Thunder after using a Lightning attack","15","-","-","50604"
"Awoken Maiden","White Magic and Bard abilities don't consume uses, cast speed x3.00 for White Magic and Bard abilities, grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] to all allies after using White Magic or Bard abilities at rank 1/2/3/4/5","15","-","-","50605"
"General Set Status","Applies a specified status","-","-","-","50606"
"General Set Status While Synchro","Applies a specified status, removed if user hasn't Synchro Mode","-","-","-","50607"
"General Remove Status","Replaces a given status with this status, resulting in the original status being removed","-","-","-","50608"
"Rising Thunder","Cast speed x2.00, grants [Buff Lightning 10% (15s)] after using a Lightning attack","15","-","-","50609"
"Unsealed Earth","Cast speed x2.00 for abilities that deal Earth damage, Earth attacks grant 25% more SB points","15","-","-","50610"
"Spark Spear Follow-Up","Casts Spark Spear after using three Lightning abilities","15","-","-","50611"
"Ability Berserk","Forces a random available action, excluding Defend, affects targeting, Berserk, Confuse, Paralyze, Stop are prioritized, will remove any Active Targeting upon selecting the random action","15","-","All ""Retaliate"" status, Rage, Green Cherry, Berserk, Confuse","50613"
"Awoken Water God","Water abilities don't consume uses, dualcasts Water abilities, casts Oracle's Prayer after using two Water abilities","15","-","-","50614"
"Dual Awoken Water God Mode I (Lunafreya)","Water abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Water abilities, casts Dual Water God's Wrath after using Water abilities","15","-","Awoken Water God","50614001"
"Dual Awoken Water God Mode II (Lunafreya)","Cast speed x9999999 for Water abilities, casts Dual Healing Shrine Maiden after casting Water abilities, lasts for 1 turn","-","-","Dual Awoken Water God Mode I (Lunafreya), Awoken Water God","50614002"
"Awoken Support","White Magic and Monk abilities don't consume uses, dualcasts White Magic and Monk abilities, grants [10% Damage Reduction Barrier 1]/[15% Damage Reduction Barrier 1]/[20% Damage Reduction Barrier 1]/[30% Damage Reduction Barrier 1]/[40% Damage Reduction Barrier 1] to all allies after using White Magic or Monk abilities at rank 1/2/3/4/5","15","-","-","50615"
"Fire High Quick Cycle","Grants [High Quick Cast 1] after using a Fire attack","15","-","-","50616"
"Heat Reciter Follow-Up","Casts Heat Reciter after using a Fire attack","15","-","-","50617"
"Black Flurry Mode","ATK +30%, 50% chance to dualcast Fire attacks","25","-","-","50618"
"Marine Wave Follow-Up","Casts Marine Wave 1/2 after using 1+2n/2+2n Water attacks","15","-","-","50620"
"Awoken Farseer","Ice and Water abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Ice and Water abilities","15","-","-","50621"
"Dual Awoken Farseer Mode I: Serah - Ice","Ice abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Ice abilities, casts Dual Frost Arrow after using two equipped Ice abilities","15","-","Awoken Farseer ","50621001"
"Dual Awoken Farseer Mode II: Serah - Ice","Increase the damage/healing cap by 10000, Ice abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Ice abilities, cast speed x9999999, casts Dual Artemis Ray after using Ice abilities, lasts for 3/3/2/1/0 turns if the user had [Dual Awoken Farseer Mode I: Serah - Ice] for 1/2/3/4/5+ turns","-","-","Dual Awoken Farseer Mode I: Serah - Ice, Awoken Farseer ","50621002"
"Azure Arrow Follow-Up","Casts Azure Arrow after using three Ice or Water attacks","15","-","-","50622"
"Respect Point Mode","Cast speed x2.00, grants [Respect Counter Critical]","15","-","-","50623"
"Awoken Legend","Dark and Fire abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Dark and Fire abilities","15","-","-","50624"
"Dual Awoken Legend Mode I (Jecht)","Dark/Fire abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Dark/Fire abilities, cast speed x2.00/2.50/3.00 for equipped Dark/Fire abilities after using Dark/Fire abilities, casts Dual Beat Stream after using Dark and Fire abilities (max 2)","15","-","Awoken Legend","50624001"
"Dual Awoken Legend Mode II (Jecht)","Increase the damage/healing cap by 10000, Dark/Fire abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Dark/Fire abilities, critical hits deal 50% more damage (additive with the base critical coefficient), grants [Dark/Fire Ability +30% Boost 1] to the user, Braska and Auron if Braska or Auron are alive","-","-","Dual Awoken Legend Mode I (Jecht), Awoken Legend","50624002"
"Dual Awoken Legend Mode I (Jecht v2)","Dark/Fire abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Dark/Fire abilities, cast speed x2.00 for equipped Dark/Fire abilities","15","-","Awoken Legend","50624003"
"Dual Awoken Legend Mode II (Jecht v2)","Dark/Fire abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for equipped Dark/Fire abilities, chases Dark/Fire ability with D: Father's Strength, lasts for 1 turn","-","-","Dual Awoken Legend Mode I (Jecht v2), Awoken Legend","50624004"
"Double Sphere Mode","Grants [Attach Dark] after using a Dark ability, grants [Attach Fire] after using a Fire ability, lasts for 1 turn","15","-","-","50625"
"Deblizz Shot Follow-Up","Casts Deblizz Shot after using 3 Ice attacks","15","-","-","50626"
"Perfection Mode","Grants [Dark Perfection Mode] after using a Dark attack, grants [Fire Perfection Mode] after using a Fire attack","15","-","-","50627"
"Respect Counter Critical","Critical chance =25/50/75/100% after using 1/2/3/4+ Water attacks, removed if the user hasn't Respect Point Mode","-","-","-","50628"
"Speed Professional","Grants [Physical High Quick Cast 1] to all allies in the front row after using a Water attack","15","-","-","50629"
"Surfeit","Grants [Buff Water 10% (15s)] to all allies after using three Water attacks","15","-","-","50630"
"Ice Stalker Follow-Up","Casts Ice Stalker (Black Magic) after using a Black Magic ability, casts Ice Stalker (Witch) after using a Witch ability","15","-","-","50631"
"Thunderous Call Follow-Up","Casts Thunderous Call after using 2 Lightning attacks","15","-","-","50632"
"War of Disguise","DEF and RES -70%","25","-","-","50633"
"Double Crystarium Mode","Grants [Attach Ice] after using an Ice ability, grants [Attach Water] after using a Water ability, lasts for 1 turn","15","-","-","50634"
"Accomplice Follow-Up","Casts Accomplice after using three Water attacks","15","-","-","50635"
"Absorb Mode","Grants 250 SB points after using three Dark attacks, casts Abyssal Sword when removed","15","-","-","50636"
"Vorpal Blade Follow-Up","Grants [40% Damage Reduction Barrier 1] to all allies after using a Knight ability","15","-","-","50637"
"Double Sphere Mode II","Grants [Attach Dark with Stacking]/[Attach Fire with Stacking] after using a Dark/Fire ability, lasts for 1 turn","15","-","-","50638"
"Knight in the Dark Follow-Up","Grants [40% Damage Reduction Barrier 1] to all allies after using a Darkness ability","15","-","-","50639"
"Awoken Judge","Dark abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, casts Echoes of Sin after using a Dark attack","15","-","-","50640"
"50% Damage Reduction Barrier 4","Reduces damage taken by 50% for the next 4 attacks","-","-","-","50641"
"Forbidden Incantation Follow-Up","Casts Forbidden Incantation after using three Dark attacks","15","-","-","50642"
"Alluring Reaper Mode","Cast speed x3.00, grants [Buff Dark 10% (15s)] after using 2 Dark attacks","15","-","-","50644"
"Leviathan's Blessing","Grants [Quick Cast 1] to all allies in the character's row after using a Summoning ability","15","-","-","50645"
"Tsunami (XV) Follow-Up","Casts Tsunami (XV) after using two Summoning abilities","15","-","-","50646"
"Dark Perfection Mode","Cast speed x2.00/2.50/3.00 after using 1/2/3+ Dark attacks, casts Execution Shot (Dark) after using a Dark attack, removed if the user hasn't Perfection Mode","-","-","-","50647"
"Fire Perfection Mode","Critical chance =50/75/100% after using 1/2/3+ Fire attacks, casts Execution Shot (Fire) after using a Fire attack, removed if the user hasn't Perfection Mode","-","-","-","50648"
"General Value v2","Tracks an arbitrary value for given effects","","-","-","50649"
"Awoken Machinist","Machinist abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Machinist abilities at ability rank 1/2/3/4/5, dualcasts Machinist abilities","15","-","-","50650"
"Dual Awoken Machinist Mode I (Edgar - Poison)","Machinist abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, triplecasts Machinist abilities, cast speed x2.00/2.50/3.00 for equipped Machinist abilities after using 1/2/3+ Machinist abilities","15","-","Awoken Machinist","50650001"
"Dual Awoken Machinist Mode II (Edgar - Poison)","Machinist abilities deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Machinist abilities, casts Dual Boosted Voice after using Machinist abilities, lasts for 1 turn","-","-","Dual Awoken Machinist Mode I (Edgar - Poison), Awoken Machinist","50650002"
