"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Selphie","Vivifying Dance","Sacred Step","2","Dancer","WHT","Single ally","","","","0.01","Restores HP (85), grants [Quick Cast 1]","N","Lowest HP% ally","70","Dancer","セイクリッドステップ","31541673","15"
"Seifer","Absolutely No Mercy","True Demon Slice","1","Dark, Fire","PHY","Single enemy","Physical","5.40","Dark, Fire, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","120","Darkness","真・鬼斬り","31540219","2003"
"Seifer","Absolutely No Mercy","True Bloodfest","2","Dark, Fire","PHY","Single enemy","Physical","5.91","Dark, Fire, NE","1.65","One single attack (5.91) capped at 99999, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","真・血祭り","31540220","2003"
"Laguna","Freezing Downpour","Freezing Bombshell","1","Ice","PHY","Single enemy","Physical","5.40","Ice, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Machinist","フリーズブリット","31540339","101"
"Laguna","Freezing Downpour","Freezing Action","2","Ice","PHY","Single enemy","Physical","2.70","Ice, NE","1.65","6/3 single ranged attacks (0.90 each) if user has Innate Talent 0/1, grants [Ice Ability +30% Boost 3] if user has Innate Talent 1, causes Innate Talent -1 to the user","Y","Lowest HP% enemy","90","Machinist","フリーズアクション","31540340","101"
"Edea","Sorcerous Binding","Thin Ice Hex","1","Ice","BLK","Single enemy","Magical","18.30","Ice, Dark, NE","1.65","Six single attacks (3.05 each), grants [40% Damage Reduction Barrier 1] to all allies every second activation","Y","Lowest HP% enemy","90","Witch","薄氷の呪魂","31540345","101"
"Edea","Sorcerous Binding","Sorceress Sneer","2","Ice","NAT","Self","","","","0.01","Grants [Dualcast Ice 1] and [Ice Ability +30% Boost 1]","N","Self","70","Witch","魔女の冷笑","31540346","101"
"Edea","Willful Hatred","Ice Breaker Grudge","1","Dark","BLK","Single enemy","Magical","18.30","Ice, Dark, NE","1.65","Six single attacks (3.05 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Black Magic","砕氷の怨恨","31541668","107"
"Edea","Willful Hatred","Sweet Frostshade Dream","2","Dark","BLK","Single enemy","Magical","8.10","Ice, Dark, NE","0.01","Three single attacks (2.70 each), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Black Magic","甘美なる氷闇の夢","31541669","107"
"Edea","Matron's Journey","Dark Ice Destruction","1","Ice, Dark","BLK","Single enemy","Magical","21.35","Ice, Dark, NE","2.60","Seven single attacks (3.05 each), long cast time","Y","Lowest HP% enemy","90","Witch","破滅の呪氷","31542569","2022"
"Edea","Matron's Journey","Dark Ice Annihilation","2","Ice, Dark","BLK","Single enemy","Magical","16.40","Ice, Dark, NE","1.65","One single attack (16.40), can break damage cap, causes [Imperil Ice 10% (5s)] and [Imperil Dark 10% (5s)]","Y","Lowest HP% enemy","90","Witch","殲滅の闇氷","31542570","2022"
"Fujin","Fusai","Wind Cloud","1","Wind","BLK","Single enemy","Magical","31.25","Wind, NE","1.65","Five single attacks (3.05 each) followed by one single attack (16.00) that ignores RES","Y","Lowest HP% enemy","90","Black Magic","風雲","31540488","104"
"Fujin","Fusai","Soaring Flight","2","Wind","NAT","Self","","","","0.01","Grants [Quick Cast 2], [Wind Ability +30% Boost 2] and [Damage Cap +10000 2]","N","Self","70","Black Magic","飛翔","31540489","104"
"Kiros","Exotic Impact","Hexa Impact","1","Dark, Ice","PHY","Single enemy","Physical","4.80","Dark, Ice, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Ninja","ヘキサインパクト","31540562","2010"
"Kiros","Exotic Impact","Non-Stop Pain","2","Dark, Ice","PHY","Single enemy","Physical","2.40","Dark, Ice, NE","0.01","Three single attacks (0.80 each), grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","60","Ninja","ノンストップペイン","31540563","2010"
"Kiros","Blood Cyclone","Vorpal Pain","1","Dark, Ice","PHY","Single enemy","Physical","5.60","Dark, Ice, NE","0.83","5/6/7 single attacks (0.80 each) scaling with activations","Y","Lowest HP% enemy","70","Ninja","ヴォーパルペイン","31542207","2010"
"Kiros","Blood Cyclone","Blood Vision","2","Dark, Ice","PHY","Single enemy","Physical","2.40","Dark, Ice, NE","0.01","Three single attacks (0.80 each), grants [(Dark/Ice) Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","60","Ninja","ブラッドビジョン","31542208","2010"
"Ward","Anchoring Trio","Silent Crush","1","Water, Ice, Earth","PHY","Single enemy","Physical","5.40","Water, Ice, Earth, NE","1.65","Six single ranged attacks (0.90 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Dragoon","サイレントクラッシュ","31540567","2011"
"Ward","Anchoring Trio","Anchor Plunge","2","Water, Ice, Earth","PHY","Single enemy","Physical","6.00","Water, Ice, Earth, NE","1.65","One single ranged attack (6.00) capped at 99999, 20% additional critical damage","Y","Lowest HP% enemy","90","Dragoon","アンカーペネトレイト","31540568","2011"
"Raijin","Thunderstorm Assault","Annihilating Bolt","1","Lightning","PHY","Single enemy","Physical","5.40","Lightning, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","滅雷","31540765","102"
"Raijin","Thunderstorm Assault","Sudden Bolt","2","Lightning","PHY","Single enemy","Physical","2.40","Lightning, NE","0.83","Three single attacks (0.80 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","70","Monk","暫雷","31540766","102"
"Zell","Flare Duel","Booya (no Duel 4S Mode/Duel 6S Mode/Duel 9S Mode)","1","Fire","PHY","Single enemy","Physical","0.90","Fire, NE","1.65","One single attack (0.90)","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Flare Duel","Booya (Duel 4S Mode)","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), 50%/75%/100% additional critical chance scaling with activations, grants [Instant Cast 1], [Damage Cap +10000 1] and [Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Flare Duel","Booya (Duel 6S Mode)","1","Fire","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Flare Duel","Booya (Duel 9S Mode)","1","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Flare Duel","Heel Drop","2","Fire","PHY","Single enemy","Physical","0.60","Fire, NE","1.65","One single attack (0.60)","Y","Lowest HP% enemy","90","Monk","かかと落とし","31540856","100"
"Irvine","Quick Canister","Shrapnel Shot","1","Machinist, Sharpshooter","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Sharpshooter","ショット・散弾","31540847","1017"
"Irvine","Quick Canister","Demolition Shot","2","Machinist, Sharpshooter","PHY","Single enemy","Physical","0.90","Fire, NE","0.01","One single ranged attack (0.90), causes [ATK and MAG -50% (8s)], grants [Fire Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","60","Sharpshooter","ショット・破壊弾","31540848","1017"
"Quistis","Homing Laser","Bio Breath","1","Black Magic","BLK","Single enemy","Magical","18.30","Water, Poison, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","バイオブレス","31540851","1"
"Quistis","Homing Laser","Occult Fan","2","Black Magic","BLK","Single enemy","Magical","16.40","Water, Poison, NE","1.65","One single attack (16.40) capped at 99999, grants [Water Ability +30% Boost 3] to the user if the user has Instructor = 1, causes Instructor -1 to the user","Y","Lowest HP% enemy","90","Black Magic","オカルトファン","31540852","1"
"Quistis","Ray of Poison","Poisonous Master","1","Black Magic","BLK","Single enemy","Magical","21.35","Poison, NE","3.30","Seven single attacks (3.05 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Black Magic","ポイズンマター","31541099","1"
"Quistis","Ray of Poison","Cross Toxin","2","Black Magic","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Poison Ability +50% Boost 3]","N","Self","70","Black Magic","クロストキシン","31541100","1"
"Beatrix","Seiken Shock End","Seiken Cursebreaker","1","Knight","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), removes positive effects","Y","Lowest HP% enemy","90","Knight","解呪の聖剣","30548546","11"
"Beatrix","Seiken Shock End","Seiken Purge","2","Holy","PHY","Single enemy","Physical","2.70","Holy, NE","1.65","Three single attacks (0.90 each), causes [Imperil Holy 10% (15s)] every second activation","Y","Lowest HP% enemy","90","Knight","浄化の聖剣","30548547","106"
"Beatrix","Spectral Break","Holy Minus Strike","1","Knight","PHY","Single enemy","Physical","6.60","Holy, NE","1.65","Six single attacks (0.90~1.10 each) scaling with HP%, followed by one single attack (2.95~3.60) capped at 99999 scaling with HP%  if the user has Last Ditch Attack level 1, causes Last Ditch Attack -1 to the user","Y","Lowest HP% enemy","90","Knight","ホーリーサガク剣","31541255","11"
"Beatrix","Spectral Break","Seiken Might","2","Knight","NAT","Self","","","","0.01","Grants [Holy Ability +50% Boost 3]","N","Self","70","Knight","聖剣技強化","31541256","11"
"Zidane","Not Alone","Rumbling Blast","1","Wind","PHY","Single enemy","Physical","4.80","Wind, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Thief","ランブルブラスト","30548438","104"
"Zidane","Not Alone","Rumbling Steal","2","Wind","PHY","Single enemy","Physical","2.40","Wind, NE","0.83","Three single attacks (0.80 each), causes [Imperil Wind 10% (15s)] every two activations, grants [Buff Wind 10% (15s)] every two activations","Y","Lowest HP% enemy","70","Thief","ランブルスティール","30548439","104"
"Garnet","Peridot Thunder","Eidolon Justice","1","Summoning","SUM","Single enemy","Physical","18.30","Lightning, NE","1.65","Six single attacks (3.05 each), grants [Lightning Ability +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","幻獣の裁き","31540054","3"
"Garnet","Peridot Thunder","Song of Memories (Garnet Trance)","2","Bard, White Magic","NAT","All allies","","","","0.01","Restores HP (80), grants [75% Damage Reduction Barrier 1], removes [Garnet Trance] from the user","N","All allies","70","Bard","記憶の歌","31540055","1005"
"Garnet","Peridot Thunder","Song of Memories (No Garnet Trance)","2","Bard, White Magic","NAT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","Bard","記憶の歌","31540055","1005"
"Garnet","Rendezvous Hour","Strength Within","1","Holy","SUM","Single enemy","Magical","18.30","Holy, NE","1.65","6/8 single attacks (3.05 each) if user has Storm-Struck Memory level 0/1+, causes [Imperil Holy 10% (5s)] if user has Storm-Struck Memory level 1+, causes Storm-Struck Memory -1 to the user","N","Lowest HP% enemy","90","Summoning","内に宿りし力","31540571","106"
"Garnet","Rendezvous Hour","Distant Memory","2","Summoning, Bard","NAT","Self","","","","0.01","Grants [Summoning +30% Boost 2] and Storm-Struck Memory +2 (max 2), Summoning smart ether 1","N","Self","70","Bard","あの日の記憶","31540572","1011"
"Garnet","Trance Divine Thunderflux","Eidolon Thunderclap","1","Summoning","SUM","Single enemy","Magical","","Lightning, Holy, NE","1.65","Six single attacks (2.90 each), 3.20 each if exploiting elemental weakness, grants [Summoning +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","幻獣の雷鳴","31542554","3"
"Garnet","Trance Divine Thunderflux","Decisive Thunderstrike","2","Summoning, Bard","SUM","Single enemy","Magical","","Lightning, Holy, NE","1.65","One single attack (16.40) capped at 99999, causes [Imperil Holy 10% (15s)] and [Imperil Lightning 10% (15s)] if the user has Distant Memory level 1 or 2, causes Distant Memory -1 to the user","N","Lowest HP% enemy","90","Summoning","決意の一撃","31542555","1011"
"Eiko","Seraphic Rebirth","Eidolon Wind","1","Summoning","SUM","Single enemy","Magical","18.30","Holy, Wind, NE","1.65","Six single attacks (3.05 each)","N","Lowest HP% enemy","90","Summoning","召喚壁の風","31540098","3"
"Eiko","Seraphic Rebirth","Eiko's Innervation","2","White Magic","WHT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","White Magic","エーコのきもち","31540099","2"
"Eiko","Blessed Winds","Toll of Ages","1","Summoning","SUM","Single enemy","Magical","19.20","Wind, Holy, NE","1.65","Six single attacks (2.90/3.05/3.20) scaling with activations, grants [Summoning +50% Boost 1]/[Summoning +30% Boost 1]/[Summoning +15% Boost 1] to the user after 1/2/3+ activations","N","Lowest HP% enemy","90","Summoning","一兆年の風化","31541247","3"
"Eiko","Blessed Winds","Terra Healing","2","White Magic, Summoning","NAT","Self","","","","0.01","Grants [Quick Cast 2], restores 2 consumed ability uses, restores HP (25) to all allies on the first activation, grants [HP Stock (2000)] to all allies on the first activation","N","Self","70","Summoning","テラヒーリング","31541248","1006"
"Vivi","Glittering Flame","My Memory","1","Fire","BLK","Single enemy","Magical","21.00","Fire, NE","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","Black Magic","ボクノ記憶","31540241","100"
"Vivi","Glittering Flame","Reason to Live","2","Fire","NAT","Self","","","","0.01","Grants Time Permitted +1 (max 4)","N","Self","70","Black Magic","イキルコトノ意味","31540242","100"
"Vivi","Icebolt Advent","Double Black Magic Icebolt","1","Ice, Lightning","BLK","Single enemy","Magical","18.30","Ice, Lightning, NE","1.65","Six single attacks (3.05 each), grants [Black Magic +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","W黒魔法・氷雷","31540751","2006"
"Vivi","Icebolt Advent","Double Black Magic Rimebolt","2","Ice, Lightning","BLK","Single enemy","Magical","2.70","Ice, Lightning, NE","0.01","One single attack (2.70), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Black Magic","W黒魔法・凍雷","31540752","2006"
"Kuja","Chaos Divider","Penumbral Onslaught","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Darkness","ダークホーリースラスト","31540383","107"
"Kuja","Chaos Divider","Dark Flare Burst","2","Dark","BLK","Single enemy","Magical","32.80","Dark, NE","1.65","1/2 single attacks (16.40 each) capped at 99999 if the user has less than/greater than or equal to 1000 SB points, causes [Soul Break Gauge -250] to the user if the user has 1000+ SB points","Y","Lowest HP% enemy","0","Darkness","ダークフレアバースト","31540384","107"
"Steiner","Double Shock","Elemental Break","1","Spellblade","PHY","Single enemy","Physical","5.40","Fire, Ice, Lightning, NE","1.65","Six single attacks (0.90 each), grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Spellblade","エレメンタルブレイク","31540387","4"
"Steiner","Double Shock","Elemental Hazard","2","Spellblade","PHY","Single enemy","Physical","6.00","Fire, Ice, Lightning, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Spellblade","エレメンタルハザード","31540388","4"
"Steiner","Reckless Blade","Full Break Rush","1","Spellblade","PHY","Single enemy","Physical","6.00","Fire, Ice, Lightning, NE","1.65","One single attack (6.00) capped at 99999, causes [ATK, DEF, MAG and RES -40% (8s)]","Y","Lowest HP% enemy","90","Spellblade","盲進フルブレイク","31541251","4"
"Steiner","Reckless Blade","Iceflame Thunder Slash","2","Spellblade","PHY","Single enemy","Physical","0.80","Fire, Ice, Lightning, NE","0.01","One single attack (0.80), grants [Instant Cast 2] to the user","Y","Lowest HP% enemy","70","Spellblade","氷炎雷鳴剣","31541252","4"
"Amarant","Ironfire Countdown","Explosive Jab","1","Monk","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each) with additional 20% critical damage","Y","Lowest HP% enemy","90","Monk","秘炮拳","31540640","9"
"Amarant","Ironfire Countdown","Retaliate (IX)","2","Monk","NAT","Self","","","","0.01","Grants [100% Critical 2] and [ATK +30% and DEF -30% (8s)]","N","Self","70","Monk","かまえる【IX】","31540641","9"
"Marcus","There You Go!","Undermine Resistance","1","Thief","PHY","Single enemy","Physical","4.80","Wind, Poison, NE","0.83","Six single attacks (0.80 each), causes [Imperil Wind 10% (5s)] and [Imperil Poison 10% (5s)]","Y","Lowest HP% enemy","70","Thief","レジスタンスダウン","31540637","10"
"Marcus","There You Go!","Quick Poison","2","Thief","PHY","Single enemy","Physical","0.80","Wind, Poison, NE","0.83","One single attack (0.80), grants [Quick Cast 2] and [Wind/Poison Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","70","Thief","クイックポイズン","31540638","10"
"Quina","Culinary Climb","Epicurean Pursuit","1","Combat","PHY","Single enemy","Physical","6.00","Water, Earth, Poison, NE","1.65","One single ranged attack (6.00) capped at 99999","Y","Lowest HP% enemy","120","Support","美食の追求","31540726","5"
"Quina","Culinary Climb","Gourmet Treat","2","Combat","NAT","All allies","","","","1.65","Restores 1500 HP, grants [Critical Damage +50% 1] if the user has Snacks > 0, causes Snacks -1","N","All allies","100","Support","すごいごちそうアル","31540727","5"
"Freya","Cliffdance Winds","Six Dragon Thrust","1","Dragoon, Dancer","PHY","Single enemy","Physical","5.16","Wind, NE","1.65","Six single ranged jump attacks (0.86/0.89/0.92/0.95) scaling with activations, 25%/50%/75%/100% additional critical chance scaling with activations","Y","Lowest HP% enemy","90","Dragoon","六竜の槍撃","31540785","1014"
"Freya","Cliffdance Winds","Dance of Plenty","2","Dragoon, Dancer","NAT","Single ally","","","","0.01","Grants [HP Stock (3000)] if the user has Reis's Wind level 0, grants [HP Stock (3000)] to all allies if the user has Reis's Wind level 1, causes Reis's Wind -1 to the user","N","Lowest HP% ally","70","Dancer","豊穣の舞","31540786","1014"
"Tidus","Blitz Yell","Sphere Shot","1","Water","PHY","Single enemy","Physical","7.20","Water, NE","1.65","4/6/8 single ranged attacks (0.90 each) scaling with activations","Y","Lowest HP% enemy","90","Sharpshooter","スフィアシュート","30549271","105"
"Tidus","Blitz Yell","Vitality Shot","2","Water","PHY","Single enemy","Physical","2.70","Water, NE","1.65","Three single ranged attacks (0.90 each), grants [Sharpshooter +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Sharpshooter","バイタリティショット","30549272","105"
"Tidus","Blitz Ace","Heightened Shot","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single ranged attacks (0.90 each), grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Sharpshooter","チャージシュート","30549374","105"
"Tidus","Blitz Ace","Energy Dream","2","Water","PHY","Single enemy","Physical","6.00","Water, NE","1.65","One single ranged attack (6.00) capped at 99999, grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Sharpshooter","エナジードリーム","30549375","105"
"Rikku","Tidal Wave","Potato Masher","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.20","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Thief","ポテトマッシャー","30548432","105"
"Rikku","Tidal Wave","Prime Twin Stars (2 Items)","2","Thief","NAT","All allies","","","","1.20","Grants [Buff Water 10% (15s)], grants [50% Critical (15s)] on first use, grants [100% Critical (15s)] on 2+ uses, removes all Items from the user","N","All allies","90","Thief","至高のツインスターズ","30548433","10"
"Rikku","Tidal Wave","Prime Twin Stars (1 Item)","2","Thief","NAT","All allies","","","","1.20","Grants [Critical Damage +50% 2] to all allies, removes all Items from the user","N","All allies","90","Thief","至高のツインスターズ","30548433","10"
"Rikku","Tidal Wave","Prime Twin Stars (0 Items)","2","Thief","NAT","Self","","","","1.20","Grants [High Quick Cast 2], removes all Items from the user","N","Self","90","Thief","至高のツインスターズ","30548433","10"
"Rikku","True Aqua Toxin","Calamity Bomb","1","Water","PHY","Single enemy","Physical","6.30","Water, NE","3.30","Seven single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Machinist","カラミティボム","31541230","105"
"Rikku","True Aqua Toxin","Splash Fall","2","Thief, Dancer","PHY","Single enemy","Physical","2.40","Water, NE","0.01","Three single attacks (0.80 each), causes [MAG and RES -50% (8s)], grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","60","Thief","スプラッシュフォール","31541231","1019"
"Yuna","Farplane Wish","Luminous Ray","1","White Magic, Summoning","SUM","Single enemy","Magical","18.30","Holy, Wind, NE","1.65","Six single attacks (3.05 each), grants [Summoning +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","ルミナス・レイ","31540128","1006"
"Yuna","Farplane Wish","Pearly Wisdom","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","ホワイトゴスペル","31540129","2"
"Yuna","Summoner Dressphere","Photon Blast","1","White Magic, Summoning","SUM","Single enemy","Magical","18.30","Holy, Wind, NE","1.65","Six single attacks (3.05 each), followed by one single attack (16.40) capped at 99999 if the user has Summoner Form level 1, causes Summoner Form -1 to the user","N","Lowest HP% enemy","90","Summoning","フォトン・ブラスト","31541772","1006"
"Yuna","Summoner Dressphere","Bright Wave","2","White Magic, Summoning","SUM","Single enemy","Magical","16.40","Holy, Wind, NE","1.65","One single attack (16.40) capped at 99999, grants [Instant Cast 1] to the user","N","Lowest HP% enemy","90","Summoning","ブライトウェーブ","31541773","1006"
"Paine","Liquid Steel Throttle","Hydrosaber","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single attacks (0.90 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Spellblade","ハイドロセイバー","31540132","105"
"Paine","Liquid Steel Throttle","Rising Sword","2","Spellblade","NAT","Self","","","","0.01","Grants [Quick Cast 2] and [Spellblade +50% Boost 2]","N","Self","70","Spellblade","ライジングソード","31540133","4"
"Paine","Water Throttle","Liquid Steel Breech","1","Water","PHY","Single enemy","Physical","6.00","Water, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Spellblade","限界突破アクアセイバー","31541212","105"
"Paine","Water Throttle","Luck","2","Water","NAT","Self","","","","0.01","Grants Luck +1 and [Quick Cast 1]","N","Self","70","Spellblade","幸運","31541213","105"
"Auron","Secret Shooting Star","Redstar","1","Samurai","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), followed by one single attack (4.71) that ignores DEF if user has Firelight Shadows level 1","Y","Lowest HP% enemy","90","Samurai","赤星","31540190","12"
"Auron","Secret Shooting Star","Mottled Chroma","2","Samurai","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999, causes [DEF, RES and MND -70% (8s)] if user has Firelight Shadows level 1","Y","Lowest HP% enemy","90","Samurai","破彩","31540191","12"
"Auron","True Banishing Blade","Cinder Strike","1","Samurai","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Samurai","灼破","31541234","12"
"Auron","True Banishing Blade","Crimson Fang","2","Samurai","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [100% Critical 3] to the user","Y","Lowest HP% enemy","90","Samurai","紅牙","31541235","12"
"Lulu","Plushie Magic","Heavy Weather","1","Witch, Black Magic","BLK","Single enemy","Magical","24.40","Ice, Water, Lightning, NE","1.65","4/6/8 single attacks (3.05 each) scaling with activations","Y","Lowest HP% enemy","90","Witch","ヘヴィウェザー","31540358","1004"
"Lulu","Plushie Magic","Arcane Diagram","2","Witch, Black Magic","BLK","Single enemy","Magical","3.05","Ice, Water, Lightning, NE","1.65","One single attack (3.05), grants [Ice/Water/Lightning Ability +30% Boost 3] and [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Witch","マジックダイアグラム","31540359","1004"
"Wakka","Aurochs Spirit+","Aurochs Rush","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Sharpshooter","オーラカラッシュ","31540397","105"
"Wakka","Aurochs Spirit+","Direct Blitz","2","Water","PHY","Single enemy","Physical","2.40","Water, NE","0.83","Three single ranged attacks (0.80 each), causes [Imperil Water 10% (15s)] and [DEF -50% (8s)] every second activation","Y","Lowest HP% enemy","70","Sharpshooter","ダイレクトブリッツ","31540398","105"
"Kimahri","Inherited Resolve","Flowing Tide","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single ranged jump attacks (0.90 each), grants [Dragoon +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Dragoon","駆ける水潮","31540404","105"
"Kimahri","Inherited Resolve","Azure Will","2","Water","PHY","Single enemy","Physical","6.00","Water, NE","1.65","One single ranged jump attack (6.00) capped at 99999, grants [Dragoon +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Dragoon","蒼き覚悟","31540405","105"
"Jecht","Meteor Shot","Assault Eclipse","1","Dark, Fire","PHY","Single enemy","Physical","5.40","Dark, Fire, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Sharpshooter","アサルトエクリプス","31540401","2003"
"Jecht","Meteor Shot","Great Fist","2","Dark, Fire","PHY","Single enemy","Physical","0.90","Dark, Fire, NE","1.65","One single ranged attack (0.90), grants [High Quick Cast 2]/[Critical Damage +50% 1] and [Dark/Fire Ability +30% Boost 1]/[Critical Damage +50% 2] and [Dark/Fire Ability +30% Boost 2] if the user has Jecht Gauge bar level 0/1/2, removes Jecht Gauge bar from the user","Y","Lowest HP% enemy","90","Sharpshooter","グレイトフィスト","31540402","2003"
"Jecht","True Jecht Slash","Assault Shot","1","Dark, Fire","PHY","Single enemy","Physical","7.20","Dark, Fire, NE","1.65","4/6/8 single ranged attacks (0.90 each) scaling with uses","Y","Lowest HP% enemy","90","Sharpshooter","アサルトシュート","31542287","2003"
"Jecht","True Jecht Slash","Rising Fist","2","Dark, Fire","PHY","Single enemy","Physical","6.00","Dark, Fire, NE","1.65","One single ranged attack (6.00) capped at 99999, grants [Dark/Fire Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Sharpshooter","ライズフィスト","31542288","2003"
"Seymour","Begrudging Soul","Destructive Salvation","1","Dark","SUM","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Dark Ability +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","滅びによる救済","31540412","107"
"Seymour","Begrudging Soul","Twisted Prayer","2","Dark","SUM","Single enemy","Magical","16.40","Dark, NE","1.65","One single attack (16.40) capped at 99999, restores 1 consumed ability use to the user","N","Lowest HP% enemy","90","Summoning","歪んだ祈り","31540413","107"
"Braska","High Summoner's Flame","Flamebeast Meteor","1","Fire","SUM","Single enemy","Magical","18.30","Fire, NE","1.65","Six single attacks (3.05 each), grants [Damage Cap +10000 1] to the user","N","Lowest HP% enemy","90","Summoning","炎獣メテオ","31541010","100"
"Braska","High Summoner's Flame","Flamebeast Strike","2","Fire","SUM","Single enemy","Magical","16.40","Fire, NE","1.65","One single attack (16.40) capped at 99999, restores 1 consumed ability use to the user","N","Lowest HP% enemy","90","Summoning","炎獣ストライク","31541011","100"
"Shantotto","Chain Thunder Play","Elegant Fulmination","1","Witch","BLK","Single enemy","Magical","21.35","Lightning","2.60","Seven single attacks (3.05 each)","Y","Lowest HP% enemy","90","Witch","淑女の雷電","31540070","20"
"Shantotto","Chain Thunder Play","Crackling Thunder","2","Witch","BLK","Single enemy","Magical","3.05","Lightning, NE","0.01","One single attack (3.05), grants [Instant Cast 1] and [Witch +30% Boost 1] to the user","Y","Lowest HP% enemy","60","Witch","無詠唱サンダー","31540071","20"
